rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 39.6413 	 106.246 	 385.659 	 90.6863 	 2166 	 68.5316 	 41.0642 	 0.800599 	 0.938475 	 192.652 	 792.62 	 251.724 	 0.317584 	 216.662 	 691.093 	 3598 	 0.956406 	 248.426 	 108.205 	 93.9195 	 28.811 	 0 	 0 	 0 	 26.8923 	 0.286334 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 27.0893 	 -112.895 	 10.7922 	 0.138169 	 78.109 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
2 	 84.1339 	 443.009 	 135.366 	 92.4446 	 7221 	 132.789 	 71.9086 	 0.840685 	 0.960623 	 368.676 	 1172.75 	 463.58 	 0.395292 	 595.23 	 1071.23 	 9780 	 0.923862 	 463.48 	 277.12 	 374.447 	 309.338 	 0 	 0 	 374.777 	 308.674 	 0.824347 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 74.2424 	 -46.226 	 42.5063 	 0.339339 	 125.262 	 110 	 116 	 183.418 	 108.574 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 110 	 110 	 110 	 0 	  Tumour 
3 	 64.3155 	 1717.97 	 87.3613 	 100.319 	 3972 	 86.703 	 61.2133 	 0.7082 	 0.944365 	 264.794 	 610.812 	 122.67 	 0.200831 	 -149.219 	 509.285 	 11515 	 0.974609 	 428.09 	 203.168 	 392.607 	 327.499 	 0.103448 	 649.513 	 377.722 	 250.839 	 0.638906 	 69 	 70 	 99.1014 	 -17.3394 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 69 	 69 	 69 	 0 	 22.8645 	 -121.779 	 13.5973 	 0.184036 	 73.8842 	 412 	 1080 	 129.964 	 55.1196 	 5 	 530.22 	 0.133489 	 63.2835 	 13.8178 	 31.9556 	 15.8164 	 156 	 44 	 82.4 	 47.9197 	  Other 
4 	 80.0024 	 2171.2 	 167.487 	 221.382 	 7986 	 103.143 	 98.9315 	 0.282828 	 0.983376 	 340.919 	 1010.2 	 326.01 	 0.322719 	 508.037 	 908.669 	 11446 	 0.932996 	 511.078 	 441.225 	 557.528 	 492.419 	 0 	 0 	 0 	 293.23 	 0.525947 	 265 	 949 	 158.43 	 41.9893 	 4 	 1190.39 	 0.14906 	 33.5798 	 10.4487 	 24.9103 	 7.97654 	 72 	 58 	 66.25 	 6.0208 	 211.684 	 39.2421 	 117.839 	 0.448563 	 262.703 	 805 	 2399 	 164.98 	 90.1361 	 11 	 1925.3 	 0.241084 	 58.5386 	 13.2558 	 30.0538 	 11.6332 	 155 	 36 	 73.1818 	 42.0091 	  Tumour 
5 	 94.8232 	 751.431 	 308.196 	 225.55 	 6929 	 130.2 	 70.2297 	 0.842049 	 0.929194 	 358.149 	 1220.35 	 307.609 	 0.252065 	 412.616 	 1118.83 	 9567 	 0.875938 	 458.995 	 285.702 	 402.823 	 337.715 	 0 	 0 	 0 	 217.109 	 0.538968 	 135 	 1517 	 170.185 	 53.7443 	 3 	 1479.66 	 0.213546 	 64.4981 	 28.2843 	 52.0093 	 18.3859 	 45 	 45 	 45 	 0 	 90.0597 	 -12.9495 	 55.1394 	 0.39084 	 141.079 	 1233 	 3566 	 153.745 	 78.9005 	 4 	 1904.14 	 0.274807 	 78.332 	 30.6062 	 49.736 	 17.7346 	 914 	 45 	 246.6 	 376.537 	  Tumour 
6 	 87.2863 	 1291.07 	 848.005 	 343.001 	 5973 	 98.6777 	 77.9455 	 0.613235 	 0.967758 	 301.765 	 639.891 	 198.754 	 0.310607 	 -65.2406 	 538.363 	 7926 	 0.953676 	 369.64 	 149.951 	 258.16 	 193.051 	 0.239316 	 673.964 	 196.721 	 246.777 	 0.955909 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 29.5923 	 -97.8233 	 19.635 	 0.243575 	 80.6119 	 162 	 234 	 129.951 	 55.1066 	 2 	 758.008 	 0.126906 	 15.7976 	 15.7976 	 15.7976 	 0 	 105 	 57 	 81 	 33.9411 	  Tumour 
7 	 87.9249 	 1634.5 	 1528.75 	 55.8032 	 2917 	 93.4382 	 41.7698 	 0.894518 	 0.901422 	 252.593 	 1069.62 	 394.505 	 0.368829 	 407.284 	 968.089 	 4023 	 0.973621 	 270.652 	 257.899 	 300.575 	 235.466 	 0.329167 	 433.241 	 276.651 	 202.524 	 0.673789 	 64 	 64 	 158.125 	 41.6842 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 64 	 64 	 64 	 0 	 69.2193 	 -82.102 	 29.2091 	 0.242925 	 120.239 	 45 	 45 	 100.222 	 25.3782 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Other 
8 	 114.549 	 1158.92 	 716.671 	 382.655 	 8217 	 110.909 	 95.1879 	 0.513224 	 0.969558 	 358.291 	 1009.31 	 270.526 	 0.26803 	 421.128 	 907.783 	 11215 	 0.931092 	 467.037 	 208.492 	 529.023 	 463.915 	 0.269142 	 787.612 	 487.247 	 306.916 	 0.580156 	 216 	 1957 	 140.935 	 24.4943 	 3 	 933.431 	 0.113597 	 76.1194 	 41.7307 	 56.7093 	 15.7575 	 87 	 62 	 72 	 13.2288 	 34.9595 	 -79.537 	 19.6731 	 0.228812 	 85.9792 	 943 	 3735 	 181.129 	 106.285 	 10 	 1906.31 	 0.231996 	 86.5335 	 12.6851 	 41.3785 	 22.4233 	 191 	 37 	 94.3 	 48.6371 	  Tumour 
9 	 124.832 	 1868.22 	 1764.05 	 114.285 	 6484 	 114.654 	 77.201 	 0.739333 	 0.894345 	 365.747 	 658.283 	 207.464 	 0.31516 	 110.62 	 556.755 	 15677 	 0.929944 	 552.759 	 243.905 	 426.62 	 361.511 	 0.140496 	 327.706 	 426.273 	 226.968 	 0.532015 	 123 	 211 	 125.106 	 8.66485 	 2 	 646.888 	 0.0997668 	 15.4362 	 15.4362 	 15.4362 	 0 	 66 	 57 	 61.5 	 6.36396 	 127.414 	 -33.7466 	 62.207 	 0.348628 	 178.434 	 311 	 693 	 145.441 	 70.5965 	 2 	 1211.79 	 0.186889 	 29.627 	 29.627 	 29.627 	 0 	 215 	 96 	 155.5 	 84.1457 	  Other 
10 	 107.884 	 166.358 	 278.038 	 90.6863 	 3218 	 70.5401 	 58.3216 	 0.562515 	 0.982896 	 215.137 	 1043.18 	 383.55 	 0.367673 	 476.253 	 941.655 	 4485 	 0.97162 	 275.397 	 381.138 	 448.484 	 383.376 	 0 	 0 	 0 	 239.67 	 0.5344 	 59 	 61 	 183.169 	 66.7287 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 59 	 59 	 59 	 0 	 133.639 	 -24.6303 	 93.9375 	 0.508709 	 184.658 	 170 	 338 	 122.165 	 47.3207 	 4 	 895.04 	 0.278136 	 20.7426 	 9.38793 	 13.3724 	 4.16436 	 54 	 26 	 42.5 	 11.7898 	  Tumour 
