rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 37.1522 	 1393.38 	 85.5862 	 338.851 	 5959 	 105.654 	 72.7097 	 0.725531 	 0.948583 	 344.877 	 2149.52 	 753.091 	 0.350354 	 966.331 	 1852.1 	 7053 	 0.941027 	 364.953 	 467.798 	 553.312 	 342.687 	 0.475219 	 571.264 	 549.707 	 92.076 	 0.166409 	 74 	 79 	 291.378 	 120.868 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 74 	 74 	 74 	 0 	 65.3647 	 -7.71323 	 20.3133 	 0.169276 	 120.001 	 567 	 2500 	 1275.26 	 1051.74 	 5 	 1830.7 	 0.307216 	 73.9927 	 15.8957 	 40.986 	 19.891 	 162 	 22 	 113.4 	 58.9644 	  Tumour 
2 	 47.9389 	 1492.51 	 100.603 	 238.355 	 6022 	 102.181 	 76.0147 	 0.668264 	 0.96152 	 313.421 	 1615.08 	 410.508 	 0.254171 	 378.434 	 1317.67 	 8133 	 0.957499 	 370.569 	 368.992 	 519.568 	 308.943 	 0.146893 	 512.712 	 513.99 	 104.325 	 0.200792 	 165 	 319 	 246.2 	 75.6898 	 3 	 1386.25 	 0.230198 	 23.5455 	 10.1217 	 16.1479 	 6.09657 	 58 	 52 	 55 	 3 	 32.4688 	 -54.5166 	 15.2554 	 0.175137 	 87.1053 	 351 	 1272 	 608.573 	 385.052 	 4 	 1084.81 	 0.180141 	 44.0413 	 14.7893 	 29.8004 	 10.0075 	 118 	 57 	 87.75 	 29.7811 	  Tumour 
3 	 50.5766 	 1862.91 	 470.208 	 132.378 	 4976 	 111.577 	 57.7193 	 0.855803 	 0.977603 	 300.894 	 1748.17 	 449.229 	 0.256972 	 749.988 	 1450.75 	 6970 	 0.931071 	 379.74 	 612.185 	 797.81 	 587.185 	 0 	 0 	 0 	 306.109 	 0.383687 	 94 	 99 	 264.894 	 94.3834 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 94 	 94 	 94 	 0 	 52.9322 	 -27.0429 	 32.6377 	 0.303413 	 107.569 	 689 	 1438 	 934.968 	 711.447 	 3 	 496.975 	 0.0998744 	 37.6247 	 15.0928 	 25.0408 	 8.33484 	 417 	 38 	 172.25 	 168.007 	  Tumour 
4 	 78.3161 	 1046.49 	 349.414 	 427.423 	 6894 	 128.145 	 69.6653 	 0.839317 	 0.942705 	 362.818 	 2013.37 	 523.431 	 0.259977 	 775.649 	 1715.96 	 8460 	 0.92814 	 433.865 	 388.957 	 494.509 	 283.884 	 0.440806 	 461.8 	 502.529 	 93.8025 	 0.189688 	 126 	 277 	 211.571 	 41.0612 	 2 	 2045.19 	 0.296662 	 22.4757 	 22.4757 	 22.4757 	 0 	 64 	 62 	 63 	 1.41421 	 47.3179 	 -26.1972 	 22.0075 	 0.215857 	 101.954 	 586 	 2918 	 951.524 	 728.003 	 6 	 2301.62 	 0.333859 	 78.7344 	 15.8026 	 46.3989 	 23.1973 	 199 	 3 	 97.6667 	 81.0276 	  Tumour 
5 	 60.8161 	 1731.15 	 665.925 	 85.7963 	 1506 	 61.1492 	 31.5882 	 0.856241 	 0.966624 	 159.095 	 1349.67 	 274.395 	 0.203304 	 416.5 	 1052.26 	 2738 	 0.938314 	 230.326 	 475.238 	 539.563 	 328.938 	 0.0930233 	 936.35 	 517.054 	 163.666 	 0.30333 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 37.5089 	 -19.4336 	 9.61626 	 0.10436 	 92.1454 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
6 	 80.4933 	 1319.47 	 85.5862 	 412.438 	 3343 	 78.4544 	 56.4956 	 0.693863 	 0.929127 	 249.078 	 1654.9 	 369.418 	 0.223228 	 659.955 	 1357.48 	 3971 	 0.894168 	 291.782 	 458.732 	 522.271 	 311.646 	 0.457249 	 500.878 	 534.482 	 117.866 	 0.22568 	 84 	 88 	 272.917 	 102.406 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 84 	 84 	 84 	 0 	 60.2166 	 -34.6008 	 19.2803 	 0.167869 	 114.853 	 49 	 51 	 732.327 	 508.806 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 49 	 49 	 49 	 0 	  Tumour 
7 	 117.34 	 1665.71 	 284.48 	 85.7963 	 9938 	 136.428 	 94.232 	 0.723134 	 0.975174 	 439.203 	 1002.58 	 314.903 	 0.314094 	 168.247 	 705.161 	 12832 	 0.970504 	 476.167 	 299.468 	 381.938 	 171.312 	 0.046875 	 887.619 	 372.608 	 303.107 	 0.793603 	 111 	 538 	 217.27 	 46.7601 	 2 	 400.639 	 0.0403138 	 54.9936 	 54.9936 	 54.9936 	 0 	 66 	 45 	 55.5 	 14.8492 	 14.2531 	 -34.5472 	 10.7979 	 0.156742 	 68.8896 	 289 	 3485 	 649.958 	 426.437 	 3 	 4181.13 	 0.420722 	 93.5958 	 49.3353 	 70.6371 	 19.8355 	 129 	 53 	 96.3333 	 39.1067 	  Tumour 
8 	 150.617 	 1074.37 	 338.758 	 388.28 	 10189 	 168.85 	 79.6221 	 0.881837 	 0.914878 	 490.801 	 2450.41 	 902.175 	 0.368173 	 1594.86 	 2152.99 	 11720 	 0.876065 	 560.492 	 475.233 	 530.395 	 319.769 	 0.692456 	 531.617 	 535.308 	 111.323 	 0.209886 	 68 	 69 	 288.044 	 117.534 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 68 	 68 	 68 	 0 	 75.3997 	 -5.09112 	 26.3497 	 0.202634 	 130.036 	 1043 	 5502 	 828.985 	 605.464 	 10 	 1889.63 	 0.185457 	 132.803 	 12.0263 	 57.7384 	 30.0598 	 255 	 31 	 104.3 	 61.2555 	  Tumour 
9 	 121.777 	 1375.83 	 86.6833 	 360.203 	 6658 	 108.04 	 79.26 	 0.679564 	 0.963392 	 323.848 	 1111.76 	 118.157 	 0.10628 	 284.224 	 814.345 	 9265 	 0.939084 	 413.338 	 336.239 	 483.062 	 272.437 	 0.378238 	 557.973 	 463.968 	 138.292 	 0.286282 	 146 	 304 	 236.13 	 65.62 	 2 	 1190.75 	 0.178845 	 25.6691 	 25.6691 	 25.6691 	 0 	 81 	 65 	 73 	 11.3137 	 19.0219 	 -35.9061 	 11.1171 	 0.150927 	 73.6585 	 203 	 550 	 318.473 	 94.9519 	 3 	 1610.44 	 0.241881 	 34.0171 	 13.679 	 24.285 	 9.12065 	 87 	 29 	 67.6667 	 33.4863 	  Tumour 
10 	 149.201 	 423.534 	 975.451 	 385.697 	 8507 	 168.865 	 65.2224 	 0.922398 	 0.949972 	 419.262 	 1039.72 	 213.854 	 0.205684 	 237.64 	 742.307 	 14109 	 0.940224 	 553.706 	 559.689 	 739.444 	 528.819 	 0 	 0 	 0 	 388.37 	 0.525219 	 32 	 32 	 209.625 	 39.1148 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 32 	 32 	 32 	 0 	 36.1349 	 -28.7338 	 31.0374 	 0.34193 	 90.7714 	 458 	 2527 	 696.856 	 473.335 	 4 	 2680.72 	 0.315119 	 104.045 	 10.8946 	 56.1543 	 38.5156 	 186 	 45 	 114.5 	 72.2703 	  Tumour 
