rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 126.552 	 111.863 	 214.245 	 573.663 	 3998 	 74.0216 	 69.3738 	 0.348768 	 0.980383 	 239.681 	 1948.65 	 621.529 	 0.318954 	 1100.62 	 1753.32 	 284.776 	 14.4001 	 85.404 	 0.167527 	 509.792 	 120 	 324 	 182.9 	 29.1394 	 2 	 1214.92 	 0.303883 	 27.1108 	 27.1108 	 27.1108 	 0 	 61 	 59 	 60 	 1.41421 	 140 	 367 	 150.843 	 39.451 	 3 	 691.828 	 0.173044 	 22.149 	 10.2188 	 17.6076 	 5.77331 	 55 	 31 	 46.6667 	 13.5769 	 11280 	 0.887002 	 537.179 	 594.365 	 958 	 893.617 	 0 	 0 	 0 	 560.629 	 0.585208 	  DCIS 
2 	 161.352 	 785.799 	 96.3846 	 459.341 	 3550 	 75.1724 	 61.2229 	 0.580258 	 0.980934 	 232.693 	 999.256 	 277.002 	 0.277209 	 481.335 	 803.931 	 131.268 	 30.2763 	 44.1366 	 0.12388 	 356.284 	 68 	 69 	 165.544 	 11.7836 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 68 	 68 	 68 	 0 	 130 	 193 	 135.477 	 24.085 	 2 	 198.164 	 0.0558208 	 14.9894 	 14.9894 	 14.9894 	 0 	 85 	 45 	 65 	 28.2843 	 5369 	 0.956359 	 300.711 	 113.183 	 136.489 	 72.1068 	 0.0464286 	 251 	 133.62 	 81.9467 	 0.600389 	  DCIS 
3 	 226.026 	 301.854 	 214.245 	 406.785 	 4293 	 83.55 	 65.8125 	 0.616057 	 0.980809 	 247.137 	 1340.18 	 210.458 	 0.157037 	 619.166 	 1144.86 	 463.345 	 -38.9873 	 35.2198 	 0.0511647 	 688.361 	 101 	 172 	 234.723 	 80.9622 	 2 	 625.265 	 0.145648 	 14.8068 	 14.8068 	 14.8068 	 0 	 53 	 48 	 50.5 	 3.53553 	 114 	 270 	 161.474 	 50.0818 	 2 	 810.797 	 0.188865 	 23.956 	 23.956 	 23.956 	 0 	 60 	 54 	 57 	 4.24264 	 15620 	 0.968562 	 517.973 	 499.005 	 536.208 	 471.825 	 0 	 0 	 0 	 389.383 	 0.72618 	  DCIS 
4 	 249.897 	 822.936 	 721.561 	 379.415 	 2632 	 115.337 	 30.8549 	 0.963553 	 0.862385 	 262.066 	 1382.61 	 437.223 	 0.31623 	 612.259 	 1187.29 	 348.993 	 13.3326 	 63.0643 	 0.109866 	 574.009 	 21 	 22 	 171.476 	 17.7156 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 21 	 21 	 21 	 0 	 35 	 37 	 152.543 	 41.151 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 35 	 35 	 35 	 0 	 4245 	 0.840594 	 354.167 	 865.247 	 828.497 	 764.114 	 0.0398773 	 251 	 830.147 	 619.298 	 0.747496 	  DCIS 
5 	 270.521 	 482.729 	 397.966 	 341.41 	 1964 	 56.499 	 44.5478 	 0.615072 	 0.981019 	 169.439 	 800.28 	 130.846 	 0.1635 	 318.833 	 604.955 	 305.713 	 -36.417 	 84.196 	 0.158642 	 530.729 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 9592 	 0.897707 	 444.877 	 628.115 	 970.664 	 906.282 	 0.166667 	 760.333 	 984.291 	 525.323 	 0.5412 	  DCIS 
6 	 318.945 	 610.868 	 534.663 	 307.69 	 3576 	 75.5757 	 60.6191 	 0.597193 	 0.980263 	 225.966 	 2058.63 	 430.071 	 0.208911 	 1011.17 	 1863.31 	 335.964 	 -48.1427 	 53.1952 	 0.0948256 	 560.98 	 132 	 405 	 209.106 	 55.3455 	 2 	 287.718 	 0.080458 	 35.6607 	 35.6607 	 35.6607 	 0 	 70 	 62 	 66 	 5.65685 	 104 	 380 	 161.298 	 49.9062 	 2 	 228.565 	 0.0639163 	 39.3522 	 39.3522 	 39.3522 	 0 	 53 	 51 	 52 	 1.41421 	 5686 	 0.926662 	 331.723 	 551.777 	 676.381 	 611.999 	 0.267559 	 559.4 	 688.763 	 564.484 	 0.834564 	  DCIS 
7 	 349.885 	 541.735 	 484.385 	 262.498 	 3873 	 77.2351 	 64.3784 	 0.552463 	 0.969462 	 264.007 	 1323.68 	 233.678 	 0.176537 	 500.764 	 1128.36 	 324.717 	 -31.3752 	 37.1331 	 0.0675475 	 549.734 	 96 	 351 	 202.323 	 48.5624 	 2 	 217.52 	 0.0561632 	 37.2509 	 37.2509 	 37.2509 	 0 	 51 	 45 	 48 	 4.24264 	 52 	 53 	 154.404 	 43.012 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 52 	 52 	 52 	 0 	 6936 	 0.863223 	 383.865 	 327.837 	 507.86 	 443.478 	 0.377095 	 713.659 	 460.229 	 391.628 	 0.771133 	  DCIS 
8 	 349.658 	 674.084 	 604.626 	 270.476 	 2453 	 63.0547 	 50.1046 	 0.607105 	 0.958952 	 193.581 	 1477.98 	 277.608 	 0.187829 	 570.345 	 1282.66 	 239.237 	 -20.4267 	 55.4359 	 0.119409 	 464.253 	 46 	 282 	 169.717 	 15.9568 	 2 	 151.754 	 0.0618647 	 39.4537 	 39.4537 	 39.4537 	 0 	 29 	 17 	 23 	 8.48528 	 90 	 119 	 101.1 	 -10.2919 	 2 	 650.417 	 0.265152 	 10.0499 	 10.0499 	 10.0499 	 0 	 45 	 45 	 45 	 0 	 3602 	 0.908678 	 255.48 	 250.677 	 358.357 	 293.975 	 0.348214 	 554.564 	 308.638 	 365.251 	 1.01924 	  DCIS 
9 	 387.884 	 717.445 	 658.898 	 228.079 	 2755 	 66.5798 	 53.0828 	 0.603608 	 0.957262 	 204.752 	 1414.85 	 428.109 	 0.302583 	 837.615 	 1219.52 	 191.588 	 74.8654 	 74.091 	 0.177845 	 416.604 	 50 	 50 	 180.66 	 26.8994 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 50 	 50 	 50 	 0 	 90 	 104 	 134.833 	 23.4414 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 90 	 90 	 90 	 0 	 4075 	 0.958824 	 257.054 	 168.79 	 195.534 	 131.151 	 0.159664 	 333.632 	 186.267 	 109.193 	 0.558435 	  DCIS 
10 	 403.985 	 230.482 	 301.086 	 278.485 	 2637 	 73.0747 	 46.1683 	 0.775136 	 0.969842 	 204.267 	 1702.99 	 448.564 	 0.263397 	 889.365 	 1507.67 	 384.292 	 26.8818 	 75.2526 	 0.123505 	 609.308 	 85 	 87 	 217.941 	 64.1806 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 85 	 85 	 85 	 0 	 62 	 62 	 185.758 	 74.3662 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 62 	 62 	 62 	 0 	 12316 	 0.936507 	 479.203 	 909.696 	 1178.46 	 1114.08 	 0.46506 	 1522.89 	 1074.39 	 774.093 	 0.656868 	  DCIS 
