rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
1 	 58.0201 	 637.761 	 36.1386 	 125.447 	 448 	 47.6074 	 12.618 	 0.964237 	 0.873294 	 104.527 	 406.491 	 117.549 	 0.28918 	 -297.395 	 341.856 	 267.923 	 -161.157 	 59.3781 	 0.147464 	 402.663 	 1386 	 0.965181 	 159.799 	 136.942 	 138.903 	 70.1811 	 0.350649 	 136.13 	 140.446 	 34.9885 	 0.251892 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
2 	 92.8891 	 629.043 	 36.1386 	 93.3006 	 2038 	 121.263 	 23.6686 	 0.980767 	 0.818803 	 259.296 	 931.237 	 232.071 	 0.249207 	 119.462 	 866.602 	 260.389 	 -134.532 	 42.0827 	 0.106504 	 395.129 	 3890 	 0.862145 	 332.225 	 216.65 	 250.063 	 181.342 	 0.460317 	 259.641 	 241.117 	 138.268 	 0.552931 	 45 	 45 	 183.956 	 34.6751 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 65 	 66 	 163.369 	 15.9305 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 65 	 65 	 65 	 0 	  Fib 
3 	 122.801 	 585.434 	 83.8689 	 78.0897 	 888 	 60.4515 	 18.9439 	 0.94963 	 0.934737 	 140.326 	 659.199 	 295.597 	 0.448418 	 72.3709 	 594.564 	 406.032 	 -151.727 	 82.4045 	 0.152383 	 540.773 	 1874 	 0.911479 	 213.397 	 388.877 	 385.949 	 317.227 	 0.75 	 417.912 	 369.987 	 165.707 	 0.429348 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
4 	 152.664 	 507.922 	 161.012 	 101.533 	 1789 	 105.894 	 23.8849 	 0.974231 	 0.848269 	 246.836 	 910.55 	 232.193 	 0.255003 	 440.236 	 845.915 	 375.196 	 -42.2207 	 52.6816 	 0.10331 	 509.936 	 4396 	 0.873956 	 340.51 	 397.331 	 438.914 	 370.192 	 0.273885 	 539.756 	 417.043 	 292.163 	 0.66565 	 90 	 165 	 197.233 	 47.9529 	 2 	 413.877 	 0.231346 	 16.1245 	 16.1245 	 16.1245 	 0 	 45 	 45 	 45 	 0 	 50 	 50 	 173 	 25.5612 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 50 	 50 	 50 	 0 	  Fib 
5 	 182.056 	 656.922 	 61.6847 	 93.086 	 3815 	 78.9433 	 62.6935 	 0.60771 	 0.95662 	 239.581 	 1392.52 	 221.834 	 0.159304 	 632.208 	 1327.88 	 379.693 	 -193.987 	 53.8589 	 0.104695 	 514.434 	 8813 	 0.749086 	 553.563 	 363.391 	 478.224 	 409.503 	 0.740157 	 463.396 	 483.2 	 155.029 	 0.324176 	 90 	 224 	 211.744 	 62.464 	 2 	 636.327 	 0.166796 	 22.4722 	 22.4722 	 22.4722 	 0 	 45 	 45 	 45 	 0 	 76 	 78 	 232.895 	 85.456 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 76 	 76 	 76 	 0 	  Tumour 
6 	 200.155 	 597.619 	 61.6847 	 78.0897 	 3931 	 82.0413 	 61.5514 	 0.661156 	 0.981278 	 242.066 	 1548.34 	 174.361 	 0.112612 	 631.892 	 1483.7 	 335.898 	 -179.578 	 47.3858 	 0.100684 	 470.639 	 7852 	 0.836209 	 470.451 	 367.148 	 515.293 	 446.571 	 0.730415 	 489.448 	 523.767 	 182.245 	 0.353672 	 180 	 851 	 217.389 	 68.1085 	 4 	 702.977 	 0.178829 	 40 	 12.2066 	 28.5092 	 11.9876 	 45 	 45 	 45 	 0 	 131 	 149 	 247.321 	 99.8819 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 131 	 131 	 131 	 0 	  Tumour 
7 	 243.54 	 991.272 	 399.005 	 260.693 	 4792 	 176.488 	 41.6652 	 0.971734 	 0.788158 	 427.061 	 588.893 	 247.021 	 0.419467 	 428.214 	 524.258 	 174.456 	 7.27073 	 43.8831 	 0.141926 	 309.197 	 6885 	 0.74707 	 475.037 	 119.356 	 112.85 	 44.1281 	 0.266515 	 126.009 	 110.85 	 19.4048 	 0.171953 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 56 	 57 	 133.839 	 -13.5995 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 56 	 56 	 56 	 0 	  Fib 
8 	 224.893 	 730.929 	 85.5862 	 166.817 	 6724 	 104.541 	 82.0819 	 0.619292 	 0.987082 	 308.392 	 1765.81 	 289.79 	 0.164112 	 891.908 	 1701.17 	 365.707 	 -184.295 	 75.9348 	 0.151734 	 500.447 	 17280 	 0.871671 	 710.676 	 379.543 	 516.857 	 448.135 	 0.208841 	 490.204 	 522.617 	 125.06 	 0.241963 	 270 	 1120 	 229.126 	 79.8455 	 5 	 350.101 	 0.0520673 	 36.7151 	 10.9659 	 25.9721 	 8.33816 	 90 	 45 	 54 	 20.1246 	 123 	 285 	 236.764 	 89.3255 	 2 	 756.518 	 0.11251 	 23.4181 	 23.4181 	 23.4181 	 0 	 84 	 39 	 61.5 	 31.8198 	  Tumour 
9 	 224.183 	 946.339 	 349.886 	 215.002 	 3714 	 98.9079 	 48.688 	 0.87045 	 0.941206 	 266.936 	 812.839 	 404.814 	 0.498025 	 641.708 	 748.204 	 162.956 	 103.278 	 79.1507 	 0.265877 	 297.696 	 5104 	 0.944311 	 309.279 	 125.564 	 107.254 	 38.5322 	 0.279412 	 134.921 	 102.627 	 35.0367 	 0.326671 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 77 	 78 	 172.117 	 24.6781 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 77 	 77 	 77 	 0 	  Fib 
10 	 209.696 	 455.247 	 237.893 	 99.1817 	 1063 	 70.8077 	 21.959 	 0.950697 	 0.855878 	 172.167 	 938.864 	 287.478 	 0.306198 	 422.651 	 874.228 	 556.305 	 -13.1672 	 95.9686 	 0.138875 	 691.045 	 1777 	 0.861785 	 236.125 	 493.433 	 477.065 	 408.344 	 0.651163 	 566.864 	 422.895 	 242.459 	 0.50823 	 48 	 65 	 168.354 	 19.0737 	 2 	 992.523 	 0.9337 	 8.1172 	 8.1172 	 8.1172 	 0 	 45 	 3 	 24 	 29.6985 	 89 	 237 	 218.753 	 71.3141 	 2 	 485.828 	 0.457035 	 22.9584 	 22.9584 	 22.9584 	 0 	 49 	 40 	 44.5 	 6.36396 	  Fib 
