rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 52.1181 	 303.784 	 66.6108 	 721.061 	 4371 	 83.4036 	 66.983 	 0.595818 	 0.978947 	 253.279 	 1366.58 	 340.687 	 0.249298 	 615.177 	 1260.51 	 5426 	 0.941524 	 311.64 	 269.079 	 309.942 	 182.053 	 0.296928 	 335.69 	 304.705 	 56.9835 	 0.183852 	 15 	 17 	 125.533 	 9.27159 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 15 	 15 	 15 	 0 	 335.329 	 214.048 	 90.1039 	 0.234726 	 383.868 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
2 	 73.1867 	 450.747 	 78.2368 	 679.498 	 3117 	 98.0834 	 42.4915 	 0.901289 	 0.893379 	 259.522 	 1213.24 	 413.517 	 0.340837 	 387.989 	 1107.16 	 7622 	 0.777438 	 507.279 	 243.023 	 299.623 	 171.735 	 0.310638 	 396.87 	 278.211 	 89.0842 	 0.29732 	 45 	 45 	 97.2222 	 -19.0395 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 28.7741 	 -80.7677 	 6.23062 	 0.0805888 	 77.3138 	 46 	 48 	 82.7391 	 -4.38317 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 46 	 46 	 46 	 0 	  DCIS 
3 	 136.599 	 495.57 	 209.974 	 615.293 	 5192 	 119.934 	 55.6644 	 0.885769 	 0.962551 	 311.605 	 1471.23 	 596.299 	 0.405306 	 731.62 	 1365.15 	 5135 	 0.870339 	 353.681 	 288.155 	 289.695 	 161.806 	 0.384146 	 333.762 	 278.678 	 77.8375 	 0.268688 	 48 	 53 	 172.021 	 55.7591 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 48 	 48 	 48 	 0 	 30.0409 	 -52.4091 	 7.82621 	 0.0995948 	 78.5805 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
4 	 117.812 	 295.45 	 66.6108 	 659.606 	 3111 	 70.8764 	 60.8949 	 0.511689 	 0.84884 	 244.208 	 1396.24 	 455.847 	 0.326481 	 819.511 	 1290.17 	 5096 	 0.766546 	 393.823 	 354.692 	 370.613 	 242.724 	 0.491758 	 333.933 	 382.298 	 107.968 	 0.291324 	 35 	 160 	 130.714 	 14.4525 	 2 	 1585.48 	 0.509638 	 29.1409 	 29.1409 	 29.1409 	 0 	 28 	 7 	 17.5 	 14.8492 	 198.268 	 9.10154 	 78.2374 	 0.316997 	 246.808 	 49 	 51 	 103.571 	 16.4491 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 49 	 49 	 49 	 0 	  DCIS 
5 	 121.229 	 808.621 	 509.692 	 713.011 	 4347 	 82.7763 	 67.1709 	 0.584386 	 0.9806 	 257.179 	 1668.72 	 795.209 	 0.476538 	 1031.91 	 1562.64 	 7820 	 0.906772 	 407.48 	 458.339 	 517.649 	 389.76 	 0 	 0 	 0 	 74.8159 	 0.14453 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 24.986 	 -55.2605 	 8.21781 	 0.111768 	 73.5256 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
6 	 127.923 	 357.223 	 92.6553 	 635.434 	 3841 	 80.4123 	 62.0978 	 0.635327 	 0.963864 	 239.723 	 1190.28 	 274.167 	 0.230337 	 762.36 	 1084.21 	 4968 	 0.891121 	 333.196 	 325.378 	 374.69 	 246.801 	 0.696774 	 363.065 	 379.554 	 94.4283 	 0.252017 	 36 	 36 	 137.778 	 21.516 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 36 	 36 	 36 	 0 	 226.963 	 70.4914 	 52.7226 	 0.191369 	 275.503 	 81 	 297 	 92.5802 	 5.45794 	 2 	 177.835 	 0.0462991 	 35.8082 	 35.8082 	 35.8082 	 0 	 45 	 36 	 40.5 	 6.36396 	  DCIS 
7 	 160.213 	 894.199 	 599.803 	 724.122 	 1493 	 52.982 	 36.4201 	 0.726274 	 0.975817 	 150.61 	 1219.6 	 488.293 	 0.400372 	 881.434 	 1113.52 	 2341 	 0.95864 	 196.77 	 278.648 	 272.43 	 144.541 	 0 	 0 	 0 	 30.3899 	 0.111551 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 21.6406 	 5.18333 	 8.03872 	 0.114544 	 70.1802 	 90 	 111 	 96.1889 	 9.06659 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 90 	 0 	  Other 
8 	 194.922 	 371.124 	 157.918 	 566.996 	 4561 	 81.5016 	 71.9337 	 0.470116 	 0.962033 	 264.936 	 1435.08 	 426.293 	 0.297052 	 767.925 	 1329 	 6682 	 0.9251 	 366.267 	 327.927 	 382.745 	 254.856 	 0.495601 	 357.68 	 389.245 	 86.134 	 0.225043 	 45 	 45 	 127.667 	 11.4049 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 209.6 	 69.0402 	 39.4525 	 0.152834 	 258.14 	 45 	 45 	 106.889 	 19.7666 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  DCIS 
9 	 198.969 	 234.218 	 162.816 	 604.035 	 3662 	 80.896 	 58.4586 	 0.691225 	 0.963684 	 239.664 	 1504.52 	 587.469 	 0.390468 	 1074.06 	 1398.45 	 5656 	 0.881271 	 352.61 	 345.357 	 372.547 	 244.658 	 0.288754 	 333.189 	 380.115 	 76.592 	 0.20559 	 45 	 45 	 118.244 	 1.9827 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 332.014 	 99.4554 	 66.7894 	 0.175506 	 380.554 	 35 	 35 	 104.143 	 17.0206 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 35 	 35 	 35 	 0 	  DCIS 
10 	 234.404 	 541.939 	 299.613 	 522.062 	 1744 	 80.3726 	 29.187 	 0.931732 	 0.899433 	 198.551 	 794.977 	 135.776 	 0.170792 	 475.484 	 688.9 	 3386 	 0.951658 	 263.882 	 182.375 	 182.643 	 54.7546 	 0.114754 	 226.286 	 179.635 	 28.8411 	 0.157909 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 18.7356 	 2.0225 	 4.26825 	 0.0634446 	 67.2752 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
