rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 
1	19.8576	1457.42	136.953	196.173	2787	102.664	35.3183	0.938963	0.946029	269.137	1800.77	797.057	0.442621	901.793	1565.82	4163	0.973118	297.598	235.19	222.052	-36.6438	0	0	0	24.393	0.109852	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	-2.9137	-31.1415	4.34563	0.0758528	57.2903	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
2	9.95003	1986.22	83.8153	209.067	1921	121.169	21.9715	0.983422	0.940284	270.125	1649	710.846	0.431078	882.174	1414.04	2798	0.942088	297.799	271.124	267.586	8.8902	0	0	0	42.0072	0.156986	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0.9902	-6.8012	6.78573	0.110889	61.1942	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
3	32.2051	973.579	483.149	342.667	1711	82.5962	26.9253	0.945374	0.951613	196.711	897.854	175.361	0.195311	48.6133	662.904	2603	0.939372	228.184	221.911	209.382	-49.3138	0.202765	235.386	206.425	31.065	0.148365	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	-3.273	-29.9692	4.70074	0.0825691	56.931	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
4	60.0113	621.609	835.958	212.735	3893	217.14	24.7717	0.993471	0.806505	495.588	936.171	192.151	0.205252	340.253	701.22	7220	0.843556	540.676	245.518	235.986	-22.7098	0.164609	249.287	234.365	26.8897	0.113946	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	-0.1629	-13.5053	5.29095	0.0881222	60.0411	45	46	143.844	21.6731	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	45	45	45	0	  Fib 
5	51.0294	490.793	966.497	144.139	3844	165.052	32.1366	0.980862	0.871853	382.936	1048.16	532.222	0.507768	262.913	813.208	6078	0.919099	409.622	265.542	258.31	-0.3858	0.187166	246.257	260.472	36.4542	0.141126	58	59	114.017	37.9134	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	58	58	58	0	2.7065	-10.4485	5.18377	0.0823992	62.9105	94	548	164.181	42.0101	2	344.416	0.0895983	60.7587	60.7587	60.7587	0	64	30	47	24.0416	  Fib 
6	49.4938	1307.48	152.778	273.468	2161	126.268	23.1994	0.982976	0.880244	283.522	1306.4	391.747	0.299868	423.233	1071.45	4018	0.894081	343.64	261.041	247.917	-10.7788	0.107692	223.171	251.789	35.4835	0.143126	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	7.5706	-14.1422	6.84488	0.100995	67.7746	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
7	62.5385	876.284	582.589	264.367	5194	150.879	45.4257	0.953601	0.891674	373.622	681.706	214.158	0.31415	150.758	446.755	7985	0.895581	446.711	188.562	198.364	-60.3318	0.105634	239.8	196.414	26.2206	0.132185	48	50	93.4167	17.3131	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	48	48	48	0	-6.5092	-21.9726	5.33011	0.0992666	53.6948	33	34	128.606	6.4351	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	33	33	33	0	  Fib 
8	57.1314	1813.97	358.912	149.013	2535	77.3258	42.6219	0.834374	0.948018	214.309	1523.06	661.798	0.434518	756.959	1288.11	4150	0.982016	261.941	258.316	245.556	-13.1398	0	0	0	36.9473	0.150464	71	72	118.775	42.6714	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	71	71	71	0	2.566	-10.4372	4.8537	0.0773251	62.77	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
9	56.6029	1661.51	208.312	150.283	1526	101.316	19.7604	0.980796	0.901359	228.024	1305.38	262.644	0.201201	871.189	1070.43	2930	0.897397	278.912	234.21	226.947	-31.7488	0.106061	256	224.509	22.7432	0.100214	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	-2.6162	-0.661889	5.11851	0.0888819	57.5878	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
10	112.03	97.8199	177.226	397.706	9655	129.014	96.393	0.664652	0.955562	405.831	977.314	187.898	0.19226	402.405	742.363	20803	0.924126	666.843	1200.86	2751.08	2492.3842	0.214041	3885.33	2593.52	1016.91	0.36964	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	19.1869	-38.0899	12.9863	0.163575	79.3909	309	815	163.715	41.5441	4	2660.73	0.275581	48.5193	9.47511	26.6623	16.4584	135	45	77.25	42.6644	  Tumour 
11	84.3824	1198.18	266.79	316.986	3779	123.449	42.4366	0.939058	0.827277	341.019	1339.34	531.78	0.397046	697.538	1104.39	6057	0.905652	380.125	271.536	242.521	-16.1748	0.133705	219.938	244.297	31.7003	0.130712	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	3.4991	-0.932392	4.64519	0.0729194	63.7031	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
12	85.6538	1576.99	136.953	121.491	1242	90.169	18.2305	0.979348	0.890961	205.338	1109.29	233.418	0.210421	574.173	874.34	2633	0.914236	248.083	319.913	289.338	30.6422	0.119658	257.643	291.023	50.7247	0.175313	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	13.3218	4.32415	6.46317	0.0879034	73.5258	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
13	88.7628	1957.8	505.729	146.492	2500	82.5165	38.684	0.883302	0.962279	216.208	1571.07	599.204	0.381397	984.236	1336.12	3973	0.98002	260.77	374.338	426.9	168.2042	0	0	0	224.932	0.526897	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	12.0956	-4.44155	10.1292	0.1401	72.2996	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
14	125.412	726.487	738.503	180.826	3959	123.958	40.9017	0.943993	0.934388	314.049	1362.88	609.787	0.447426	846.479	1127.93	6281	0.937603	350.409	309.211	286.76	28.0642	0.395639	297.394	283.717	34.9368	0.121833	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	6.7543	7.3625	6.96479	0.104017	66.9583	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
15	123.949	1073.48	397.834	253.16	2462	85.2314	38.5547	0.891839	0.949113	227.581	1278.54	363.34	0.284184	763.468	1043.59	3890	0.956714	273.255	244.104	231.704	-26.9918	0.05	211.385	234.631	50.7064	0.218842	66	66	102.667	26.5634	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	66	66	66	0	-2.4615	-9.83088	4.16779	0.0721789	57.7425	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
16	127.672	842.584	623.426	191.51	832	71.9552	15.2843	0.97718	0.891747	160.083	985.573	249.184	0.252831	579.525	750.623	1794	0.962446	194.627	281.067	267.426	8.7302	0	0	0	14.6167	0.0546569	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	-0.7917	1.78907	4.70829	0.0792478	59.4123	0	0	 NaN 	NaN	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
