rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	CellLabels 	
1 	 62.0087 	 551.586 	 133.27 	 745.161 	 6457 	 95.0665 	 86.8283 	 0.40719 	 0.982352 	 312.978 	 1025.64 	 343.558 	 0.334969 	 686.202 	 949.834 	 16122 	 0.892493 	 619.446 	 1042.39 	 1111.36 	 1025.1 	 0.397112 	 1154.7 	 1135.58 	 233.453 	 0.210061 	 141.699 	 -14.1678 	 13.7745 	 0.0736381 	 187.056 	  Tumour 
2 	 95.3287 	 374.006 	 181.033 	 614.363 	 10657 	 144.454 	 95.0079 	 0.753277 	 0.979144 	 414.291 	 519.288 	 233.716 	 0.45007 	 274.896 	 443.48 	 29301 	 0.852517 	 925.98 	 1256.15 	 1277.32 	 1191.06 	 0.171605 	 1183.74 	 1323.5 	 363.166 	 0.284319 	 175.068 	 -10.5534 	 28.4767 	 0.12919 	 220.425 	  Tumour 
3 	 121.772 	 670.668 	 133.27 	 788.195 	 10480 	 145.703 	 94.4326 	 0.761542 	 0.945251 	 420.007 	 823.122 	 261.06 	 0.317158 	 476.349 	 747.314 	 29139 	 0.950082 	 739.394 	 972.347 	 970.491 	 884.23 	 0.414944 	 1073.15 	 940.919 	 177.155 	 0.182542 	 160.353 	 13.3291 	 18.4758 	 0.0898146 	 205.711 	  Tumour 
4 	 194.532 	 595.705 	 140.089 	 683.902 	 4873 	 85.8697 	 72.7057 	 0.532073 	 0.971685 	 272.007 	 937.926 	 321.715 	 0.343007 	 635.819 	 862.118 	 12244 	 0.871087 	 537.085 	 1116.43 	 1201.3 	 1115.04 	 0.434879 	 1094.82 	 1226.54 	 151.697 	 0.126277 	 174.528 	 11.6567 	 16.6191 	 0.0755806 	 219.885 	  Tumour 
5 	 260.34 	 795.876 	 314.229 	 817.507 	 6853 	 94.2239 	 92.7699 	 0.174999 	 0.984768 	 316.676 	 1099.01 	 389.336 	 0.354261 	 781.208 	 1023.2 	 18407 	 0.978315 	 521.973 	 1033.18 	 1033.35 	 947.09 	 0.165548 	 1089.78 	 1027.19 	 131.984 	 0.127724 	 129.278 	 -9.1545 	 14.8133 	 0.0848239 	 174.636 	  Tumour 
6 	 308.283 	 207.389 	 423.723 	 348.264 	 12398 	 168.555 	 95.3693 	 0.824538 	 0.974073 	 452.676 	 2221.99 	 827.368 	 0.372355 	 1488.26 	 2146.18 	 20551 	 0.932864 	 639.169 	 1565.08 	 1588.11 	 1501.85 	 0.157116 	 1645.42 	 1582.32 	 407.86 	 0.256821 	 203.599 	 4.47161 	 27.0383 	 0.108607 	 248.956 	  Tumour 
7 	 415.292 	 150.527 	 534.238 	 227.853 	 3956 	 75.8172 	 66.9355 	 0.469648 	 0.965585 	 248.35 	 981.771 	 321.658 	 0.32763 	 615.442 	 905.963 	 6351 	 0.855584 	 382.233 	 1454.98 	 1625.66 	 1539.39 	 0.455108 	 1704.46 	 1596.12 	 219.025 	 0.13473 	 172.382 	 6.32611 	 28.662 	 0.131635 	 217.739 	  Tumour 
8 	 469.58 	 217.718 	 527.276 	 218.506 	 6929 	 100.307 	 88.1687 	 0.476846 	 0.971128 	 332.676 	 1260.67 	 519.729 	 0.412265 	 779.079 	 1184.86 	 11699 	 0.960746 	 443.446 	 1724.6 	 1951.31 	 1865.05 	 0.47619 	 1954.19 	 1937.94 	 221.223 	 0.113372 	 247.908 	 6.3469 	 24.6037 	 0.0838955 	 293.266 	  Tumour 
9 	 483.216 	 716.125 	 451.815 	 666.521 	 5995 	 94.9647 	 81.3545 	 0.515846 	 0.970693 	 310.794 	 504.433 	 180.223 	 0.357278 	 315.347 	 428.625 	 25703 	 0.982643 	 622.458 	 1184.55 	 1046.64 	 960.381 	 0 	 0 	 0 	 219.719 	 0.209928 	 130.67 	 3.84171 	 13.0404 	 0.0740817 	 176.027 	  Tumour 
10 	 524.46 	 130.768 	 625.048 	 121.491 	 4942 	 86.9314 	 73.6158 	 0.531868 	 0.958309 	 279.078 	 1189.63 	 404.127 	 0.339707 	 692.716 	 1113.82 	 9167 	 0.899961 	 466.659 	 1729.26 	 1866.56 	 1780.3 	 0.632911 	 1888.21 	 1855.34 	 206.557 	 0.110662 	 218.668 	 -5.96332 	 12.7073 	 0.048129 	 264.026 	  Tumour 
11 	 543.357 	 370.783 	 513.928 	 317.057 	 6475 	 96.1076 	 86.0854 	 0.444621 	 0.969021 	 323.019 	 1033.39 	 385.66 	 0.3732 	 621.227 	 957.579 	 12372 	 0.917872 	 505.245 	 1611.26 	 1646.18 	 1559.92 	 0.373272 	 1823.51 	 1605.97 	 315.891 	 0.191893 	 229.418 	 8.71958 	 22.823 	 0.0830605 	 274.775 	  Tumour 
12 	 585.511 	 201.004 	 630.696 	 141.76 	 6975 	 104.585 	 86.934 	 0.555929 	 0.969423 	 336.551 	 2497.97 	 438.026 	 0.175352 	 1191.55 	 2422.16 	 12793 	 0.842698 	 576.156 	 1627.35 	 1966.51 	 1880.25 	 0.657143 	 1943.86 	 1968.08 	 280.63 	 0.142705 	 223.556 	 -17.8599 	 15.4342 	 0.0573948 	 268.913 	  Tumour 
13 	 616.922 	 301.416 	 609.119 	 236.172 	 9530 	 119.846 	 101.757 	 0.528293 	 0.963307 	 390.191 	 1344.7 	 428.029 	 0.318309 	 764.201 	 1268.89 	 16360 	 0.851418 	 679.411 	 1540.74 	 1723.88 	 1637.62 	 0.47931 	 1757.43 	 1712.53 	 158.109 	 0.091717 	 209.178 	 -24.714 	 22.605 	 0.0888089 	 254.535 	  Tumour 
14 	 639.835 	 442.246 	 588.374 	 364.401 	 6653 	 108.097 	 79.9353 	 0.673182 	 0.959198 	 327.321 	 2535.76 	 555.62 	 0.219114 	 1471.22 	 2459.95 	 13763 	 0.880607 	 536.014 	 1401.83 	 1657.41 	 1571.15 	 0.30837 	 1672.45 	 1647.2 	 243.876 	 0.147143 	 175.824 	 -26.6244 	 20.2561 	 0.0915813 	 221.181 	  Tumour 
15 	 626.423 	 64.7835 	 247.081 	 121.491 	 2005 	 79.5825 	 32.3894 	 0.913432 	 0.954762 	 196.368 	 1411.74 	 626.764 	 0.443966 	 852.562 	 1335.93 	 10369 	 0.83817 	 525.245 	 1454.39 	 1620.76 	 1534.5 	 0.248899 	 1788.79 	 1602.43 	 439.312 	 0.271054 	 166.935 	 -7.4727 	 26.8741 	 0.12659 	 212.293 	  Fib 
16 	 701.549 	 603.253 	 642.029 	 479.109 	 6842 	 114.774 	 76.354 	 0.746618 	 0.972842 	 329.563 	 987.519 	 313.11 	 0.317067 	 727.256 	 911.711 	 20440 	 0.983875 	 551.304 	 1275.38 	 1126.23 	 1039.97 	 0 	 0 	 0 	 507.366 	 0.450499 	 127.441 	 13.408 	 26.4609 	 0.153132 	 172.798 	  Tumour 
17 	 716.149 	 206.485 	 739.886 	 152.643 	 7855 	 115.291 	 87.4983 	 0.651165 	 0.98335 	 339.362 	 2792.23 	 963.128 	 0.344931 	 1801.91 	 2716.43 	 16844 	 0.965217 	 525.73 	 1948.25 	 1984.95 	 1898.69 	 0.119469 	 2016.74 	 1975.53 	 240.826 	 0.121326 	 305.611 	 31.6367 	 38.9879 	 0.111087 	 350.969 	  Tumour 
18 	 858.058 	 149.908 	 247.081 	 152.643 	 5556 	 263.989 	 28.8713 	 0.994002 	 0.8586 	 547.588 	 973.911 	 427.863 	 0.439324 	 493.549 	 898.103 	 10668 	 0.93016 	 613.186 	 812.012 	 905.601 	 819.339 	 0.0429104 	 1878.78 	 884.923 	 490.395 	 0.541514 	 98.7673 	 -7.71008 	 50.3476 	 0.349334 	 144.125 	  Fib 
19 	 949.567 	 500.883 	 889.463 	 321.076 	 16354 	 150.557 	 139.092 	 0.382768 	 0.985121 	 491.286 	 1219.33 	 407.652 	 0.334325 	 871.689 	 1143.52 	 20634 	 0.862409 	 701.838 	 1106 	 1265.48 	 1179.22 	 0.198305 	 1431.39 	 1242.84 	 327.586 	 0.258862 	 143.23 	 3.7081 	 22.7943 	 0.120869 	 188.588 	  Tumour 
20 	 939.569 	 677.248 	 886.853 	 479.352 	 7587 	 100.208 	 96.5231 	 0.268695 	 0.982263 	 336.676 	 1092.7 	 389.608 	 0.356554 	 766.134 	 1016.9 	 26027 	 0.980375 	 624.926 	 1102.26 	 1047.89 	 961.629 	 0.157197 	 1114.83 	 1041.03 	 219.398 	 0.209371 	 140.781 	 -7.79248 	 14.7915 	 0.0794649 	 186.139 	  Tumour 
21 	 1021.11 	 400.971 	 970.815 	 198.436 	 6520 	 104.442 	 79.6983 	 0.646295 	 0.97488 	 317.948 	 1093.29 	 394.368 	 0.360718 	 756.714 	 1017.48 	 20364 	 0.95727 	 602.843 	 1495.36 	 1475.75 	 1389.49 	 0.223077 	 1431.91 	 1480.8 	 145.212 	 0.0983987 	 209.454 	 11.0006 	 19.6813 	 0.0772388 	 254.811 	  Tumour 
22 	 1080.42 	 761.607 	 1039.43 	 525.103 	 9933 	 122.399 	 103.566 	 0.532977 	 0.984342 	 385.446 	 1291.29 	 502.798 	 0.389375 	 948.312 	 1215.49 	 18891 	 0.964122 	 547.831 	 1064.3 	 1116.37 	 1030.11 	 0.167715 	 1118.2 	 1114.34 	 247.806 	 0.221974 	 141.097 	 -9.76054 	 15.2943 	 0.082027 	 186.455 	  Tumour 
23 	 1136.54 	 240.402 	 540.135 	 198.436 	 2106 	 80.1349 	 34.0389 	 0.905301 	 0.955102 	 207.238 	 922.539 	 504.205 	 0.546541 	 634.533 	 846.731 	 6477 	 0.856519 	 384.635 	 1097.4 	 1138.86 	 1052.6 	 0 	 0 	 0 	 436.941 	 0.383665 	 120.285 	 1.88849 	 20.423 	 0.123296 	 165.642 	  Fib 
