rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 58.4096 	 434.001 	 659.856 	 473.659 	 3911 	 86.8659 	 58.8591 	 0.735444 	 0.935646 	 264.936 	 735.48 	 337.504 	 0.458889 	 487.367 	 683.064 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4657 	 0.954303 	 273.823 	 76.1258 	 70.7623 	 -23.5769 	 0 	 0 	 0 	 7.33171 	 0.10361 	 9.06992 	 -3.45676 	 4.5696 	 0.0848206 	 53.8737 	 80 	 81 	 98.6 	 27.5559 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 80 	 80 	 80 	 0 	  DCIS 
2 	 490.897 	 241.523 	 317.813 	 220.928 	 9585 	 165.475 	 74.4042 	 0.893209 	 0.973393 	 423.002 	 822.807 	 331.488 	 0.402875 	 525.811 	 770.391 	 117 	 191 	 236.667 	 34.4024 	 2 	 2962.21 	 0.309046 	 11.8864 	 11.8864 	 11.8864 	 0 	 80 	 37 	 58.5 	 30.4056 	 14151 	 0.979105 	 526.843 	 257.142 	 257.399 	 163.059 	 0 	 0 	 0 	 189.879 	 0.737686 	 65.9768 	 14.985 	 24.6012 	 0.222071 	 110.781 	 166 	 214 	 110.355 	 39.3113 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 166 	 166 	 166 	 0 	  Tumour 
3 	 591.397 	 45.1455 	 530.558 	 220.928 	 5284 	 107.88 	 69.1304 	 0.767699 	 0.864387 	 372.375 	 694.74 	 319.461 	 0.459829 	 270.585 	 642.325 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 7665 	 0.843142 	 439.747 	 319.651 	 343.266 	 248.927 	 0.00522193 	 496 	 352.402 	 238.251 	 0.694072 	 72.4169 	 -15.4479 	 34.4833 	 0.294174 	 117.221 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
4 	 770.533 	 444.775 	 305.722 	 184.532 	 18551 	 218.897 	 112.577 	 0.857615 	 0.961889 	 597.345 	 1588.04 	 368.025 	 0.231747 	 984.352 	 1535.63 	 697 	 6621 	 248.578 	 46.3139 	 12 	 2609.14 	 0.140647 	 144.596 	 12.9357 	 59.2918 	 29.9779 	 90 	 38 	 58.0833 	 15.814 	 36632 	 0.878676 	 937.897 	 394.921 	 556.876 	 462.536 	 0.0239234 	 560.25 	 556.515 	 253.411 	 0.455059 	 67.8621 	 -40.5896 	 24.0059 	 0.213071 	 112.666 	 1498 	 9341 	 141.055 	 70.0106 	 16 	 2119.66 	 0.114261 	 122.676 	 8.30485 	 59.86 	 27.2436 	 319 	 32 	 93.625 	 73.1226 	  Tumour 
5 	 791.8 	 139.588 	 317.813 	 222.32 	 16915 	 290.139 	 75.5412 	 0.965511 	 0.947513 	 669.779 	 1321.22 	 491.579 	 0.372066 	 706.794 	 1268.8 	 263 	 1882 	 321.346 	 119.082 	 6 	 6447.55 	 0.381173 	 80.3694 	 8.36889 	 38.033 	 20.8258 	 52 	 34 	 43.8333 	 7.30525 	 23361 	 0.960252 	 754.365 	 334.513 	 327.842 	 233.503 	 0 	 0 	 326.424 	 201.572 	 0.614846 	 78.7895 	 3.64812 	 27.9114 	 0.225832 	 123.593 	 824 	 9101 	 136.542 	 65.4984 	 10 	 2584.43 	 0.15279 	 194.1 	 11.7224 	 71.7048 	 40.1708 	 181 	 34 	 82.4 	 42.875 	  Tumour 
6 	 862.02 	 874.812 	 917.004 	 439.524 	 5751 	 166.24 	 47.5434 	 0.958232 	 0.900564 	 387.103 	 573.967 	 190.418 	 0.331758 	 397.803 	 521.551 	 90 	 124 	 230.6 	 28.3358 	 2 	 1843.02 	 0.320469 	 9.84886 	 9.84886 	 9.84886 	 0 	 45 	 45 	 45 	 0 	 6884 	 0.910221 	 405.605 	 96.3449 	 92.2096 	 -2.12955 	 0 	 0 	 92.1983 	 11.3651 	 0.123253 	 17.0072 	 1.03507 	 5.44582 	 0.0881044 	 61.811 	 108 	 307 	 99.6389 	 28.5948 	 2 	 1752.64 	 0.304754 	 26.9086 	 26.9086 	 26.9086 	 0 	 90 	 18 	 54 	 50.9117 	  Fib 
7 	 882.783 	 795.262 	 900.525 	 367.483 	 3110 	 93.5535 	 43.5893 	 0.884822 	 0.919574 	 245.865 	 644.173 	 259.797 	 0.403303 	 422.803 	 591.757 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3632 	 0.915092 	 263.38 	 122.585 	 123.638 	 29.2984 	 0.270742 	 159.968 	 119.023 	 37.104 	 0.300103 	 50.8133 	 13.8208 	 31.0857 	 0.325106 	 95.617 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
8 	 912.782 	 633.054 	 877.853 	 235.601 	 2626 	 70.6809 	 48.4929 	 0.727524 	 0.982049 	 203.238 	 1249.39 	 282.476 	 0.226091 	 635.289 	 1196.98 	 127 	 564 	 205.535 	 3.27118 	 3 	 424.344 	 0.161593 	 35.2278 	 15.0138 	 26.7564 	 9.38838 	 45 	 37 	 42.3333 	 4.6188 	 3232 	 0.97614 	 223.581 	 104.92 	 100.79 	 6.45056 	 0 	 0 	 100.072 	 28.8823 	 0.28656 	 22.6913 	 6.49745 	 5.88287 	 0.08716 	 67.495 	 60 	 62 	 107.5 	 36.4559 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 60 	 60 	 60 	 0 	  DCIS 
9 	 924.054 	 772.685 	 929.988 	 361.93 	 2566 	 74.405 	 45.5466 	 0.790746 	 0.93377 	 219.279 	 856.299 	 328.066 	 0.383121 	 607.816 	 803.884 	 42 	 42 	 272.405 	 70.1405 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 42 	 42 	 42 	 0 	 2977 	 0.935281 	 233.966 	 132.913 	 131.57 	 37.2308 	 0.7 	 133.614 	 129.625 	 39.7156 	 0.301859 	 58.7001 	 22.1999 	 13.5303 	 0.130723 	 103.504 	 98 	 106 	 105.173 	 34.1294 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 98 	 98 	 98 	 0 	  DCIS 
10 	 937.2 	 702.041 	 918.948 	 305.949 	 4482 	 83.642 	 68.618 	 0.571822 	 0.97013 	 263.38 	 814.45 	 304.778 	 0.374214 	 506.905 	 762.035 	 90 	 390 	 265.467 	 63.2024 	 2 	 598.456 	 0.133524 	 42.3141 	 42.3141 	 42.3141 	 0 	 52 	 38 	 45 	 9.89949 	 5081 	 0.968917 	 279.823 	 115.409 	 111.836 	 17.4968 	 0.256 	 118.406 	 111.03 	 31.8474 	 0.284769 	 52.0387 	 21.0385 	 18.2913 	 0.188877 	 96.8425 	 74 	 75 	 115.676 	 44.6316 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 74 	 74 	 74 	 0 	  DCIS 
