rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
1 	 73.4513 	 606.726 	 101.71 	 276.116 	 15476 	 186.771 	 114.463 	 0.790199 	 0.886572 	 555.085 	 1677.55 	 651.686 	 0.388474 	 664.649 	 1629.08 	 592.609 	 -27.5269 	 213.393 	 0.322495 	 661.693 	 19289 	 0.859466 	 663.553 	 436.483 	 472.496 	 408.222 	 0.5625 	 715.086 	 384.998 	 274.726 	 0.581435 	 1950 	 9774 	 150.13 	 87.7358 	 15 	 2870.68 	 0.185492 	 146.625 	 15.4167 	 61.6337 	 32.5855 	 358 	 38 	 130 	 94.8879 	 262 	 879 	 188.901 	 102.29 	 3 	 3421.56 	 0.221088 	 34.8398 	 21.4945 	 28.724 	 6.03025 	 102 	 69 	 87.3333 	 16.8028 	  Tumour 
2 	 71.2219 	 473.101 	 91.3947 	 142.127 	 8559 	 129.6 	 85.132 	 0.753991 	 0.974718 	 385.321 	 2064.54 	 619.548 	 0.30009 	 1142.87 	 2016.07 	 518.396 	 -54.6292 	 86.2748 	 0.146855 	 587.481 	 10894 	 0.896109 	 459.304 	 619.375 	 741.241 	 676.967 	 0.487437 	 811.711 	 709.993 	 332.781 	 0.448951 	 1155 	 4130 	 146.747 	 84.3527 	 7 	 1437.57 	 0.16796 	 81.8627 	 16.9616 	 45.1915 	 17.1371 	 374 	 45 	 165 	 112.913 	 296 	 1706 	 173.047 	 86.4362 	 4 	 2460.46 	 0.287471 	 95.5114 	 17.463 	 51.8281 	 29.7801 	 101 	 55 	 74 	 20.9921 	  Tumour 
3 	 65.4653 	 330.808 	 494.144 	 64.6607 	 750 	 32.2142 	 29.9194 	 0.370675 	 0.988142 	 99.9411 	 807.604 	 264.334 	 0.327306 	 -441.128 	 759.131 	 75.2433 	 -594.396 	 22.927 	 0.158854 	 144.328 	 1916 	 0.9667 	 165.74 	 138.74 	 140.6 	 76.3261 	 0.0333333 	 304.4 	 138.641 	 71.5329 	 0.508769 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
4 	 98.9398 	 385.933 	 222.524 	 64.6607 	 2510 	 67.0516 	 48.052 	 0.697441 	 0.978558 	 193.095 	 3382.58 	 835.719 	 0.247066 	 2064.84 	 3334.1 	 419.519 	 -160.694 	 93.4766 	 0.191314 	 488.603 	 4280 	 0.921619 	 268.049 	 763.148 	 712.855 	 648.581 	 0.331818 	 905.096 	 681.117 	 332.761 	 0.466801 	 126 	 310 	 141.897 	 79.5023 	 2 	 326.935 	 0.130253 	 29.1836 	 29.1836 	 29.1836 	 0 	 75 	 51 	 63 	 16.9706 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
5 	 124.408 	 694.825 	 101.71 	 325.22 	 8316 	 115.616 	 95.7899 	 0.559964 	 0.94275 	 373.304 	 1839.11 	 539.089 	 0.293124 	 1111.52 	 1790.64 	 766.831 	 107.638 	 120.577 	 0.144246 	 835.916 	 7958 	 0.842741 	 427.831 	 639.619 	 716.39 	 652.116 	 0.971751 	 740.113 	 695.206 	 286.456 	 0.399861 	 1122 	 4734 	 128.129 	 65.7347 	 10 	 3090.21 	 0.371599 	 78.3919 	 9.79389 	 43.2254 	 18.5182 	 348 	 24 	 112.2 	 97.2714 	 184 	 934 	 182.033 	 95.4215 	 3 	 1337.66 	 0.160853 	 71.9208 	 35.2139 	 48.0317 	 18.5209 	 71 	 44 	 61.3333 	 15.0444 	  Tumour 
6 	 180.978 	 778.522 	 203.096 	 231.078 	 10811 	 135.605 	 106.401 	 0.619956 	 0.954108 	 427.245 	 1674.48 	 653.086 	 0.390023 	 852.22 	 1626.01 	 685.256 	 64.6567 	 110.533 	 0.14653 	 754.34 	 13882 	 0.9589 	 468.541 	 742.778 	 701.989 	 637.715 	 0.421751 	 586.013 	 735.219 	 341.402 	 0.486336 	 1157 	 6230 	 135.201 	 72.806 	 8 	 2515.37 	 0.232668 	 104.012 	 11.4406 	 56.8175 	 24.7084 	 382 	 7 	 144.625 	 136.196 	 505 	 2917 	 187.214 	 100.603 	 5 	 1584.73 	 0.146585 	 84.0786 	 25.4515 	 45.8846 	 16.9824 	 117 	 64 	 101 	 21.095 	  Tumour 
7 	 220.473 	 568.81 	 151.832 	 284.023 	 22434 	 209.875 	 144.578 	 0.724876 	 0.919087 	 642.926 	 2267.42 	 656.369 	 0.289479 	 1280.15 	 2218.94 	 615.803 	 -35.203 	 94.8188 	 0.138444 	 684.887 	 31487 	 0.828627 	 845.377 	 529.525 	 783.407 	 719.133 	 0.716292 	 742.804 	 807.637 	 367.078 	 0.468565 	 2547 	 12807 	 149.512 	 87.1175 	 19 	 5422.42 	 0.241706 	 161.95 	 12.6965 	 70.8285 	 34.6962 	 385 	 9 	 134.053 	 105.987 	 584 	 6745 	 179.522 	 92.9111 	 6 	 4318.24 	 0.192486 	 106.65 	 12.9617 	 62.2974 	 24.449 	 130 	 66 	 97.3333 	 21.3417 	  Tumour 
8 	 226.495 	 287.321 	 354.696 	 166.904 	 7424 	 116.686 	 81.6863 	 0.714092 	 0.968811 	 343.706 	 1211.88 	 590.991 	 0.487662 	 978.644 	 1163.41 	 379.385 	 190.496 	 119.689 	 0.266882 	 448.469 	 9764 	 0.841144 	 492.659 	 392.335 	 360.057 	 295.783 	 0.396675 	 535.593 	 315.697 	 219.833 	 0.610552 	 941 	 1546 	 157.938 	 95.5439 	 2 	 1278.73 	 0.172242 	 11.0774 	 11.0774 	 11.0774 	 0 	 883 	 58 	 470.5 	 583.363 	 103 	 105 	 143.379 	 56.7675 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 103 	 103 	 103 	 0 	  Tumour 
9 	 239.852 	 686.419 	 184.743 	 251.024 	 7702 	 114.654 	 86.835 	 0.65299 	 0.932333 	 371.12 	 2023.8 	 661.131 	 0.326678 	 1121.1 	 1975.33 	 734.594 	 -2.33479 	 80.4088 	 0.100051 	 803.678 	 11228 	 0.896161 	 460.659 	 830.257 	 846.835 	 782.562 	 0.66838 	 751.042 	 903.066 	 261.998 	 0.309385 	 754 	 2216 	 142.05 	 79.6559 	 4 	 2026.67 	 0.263135 	 48.1188 	 21.7116 	 36.7711 	 9.49333 	 362 	 45 	 188.5 	 161.544 	 66 	 68 	 184.091 	 97.4798 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 66 	 66 	 66 	 0 	  Tumour 
10 	 249.752 	 355.945 	 307.132 	 186.682 	 7557 	 145.373 	 67.9128 	 0.884171 	 0.906441 	 394.375 	 1221.25 	 428.204 	 0.350628 	 803.45 	 1172.77 	 271.748 	 9.99217 	 69.0199 	 0.202504 	 340.832 	 10111 	 0.833828 	 479.914 	 461.087 	 610.106 	 545.832 	 0.455696 	 625.372 	 609.238 	 290.509 	 0.476162 	 1030 	 1986 	 181.506 	 119.111 	 4 	 1757.45 	 0.232559 	 44.6047 	 19.0095 	 31.2562 	 9.34919 	 452 	 50 	 257.5 	 219.889 	 214 	 340 	 149.107 	 62.4964 	 2 	 2609.17 	 0.345265 	 20.6259 	 20.6259 	 20.6259 	 0 	 115 	 99 	 107 	 11.3137 	  Tumour 
