rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 
1	71.6826	235.879	98.9949	1113.76	12513	149.953	106.691	0.702693	0.965658	454.617	1242.93	414.75	0.333687	513.075	1029.8	803.099	63.0395	173.929	0.198842	874.706	20502	0.948113	610.291	668.169	1202.62	1152.79	0.238859	1543.84	1141.88	418.587	0.348062	1108	6036	136.847	58.6922	12	2500.43	0.199827	99.0127	8.24621	49.2949	21.5277	261	40	92.3333	64.428	184	737	139.418	32.0782	3	2706.66	0.216308	75.3091	35.3539	50.2061	19.5533	67	51	61.3333	8.96289	  Tumour 
2	61.3457	832.628	102.489	1097.62	8273	119.507	89.0219	0.667166	0.973294	364.149	1351.89	316.549	0.234153	455.733	1138.76	840.728	41.4877	114.717	0.12574	912.335	11271	0.88818	529.279	663.296	827.807	777.977	0.46748	718.296	869.922	298.401	0.360471	385	1486	129.543	51.3876	5	2719.56	0.328727	48.1192	11.2346	30.2064	13.5426	179	33	77	62.2535	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Tumour 
3	88.2568	937.419	701.183	1100.17	8490	109.487	100.496	0.396843	0.930105	393.304	1261.94	426.591	0.338044	521.438	1048.81	905.896	207.247	111.945	0.114521	977.504	10386	0.906441	468.551	604.093	729.968	680.138	0.43908	711.455	740.912	272.306	0.373039	436	3135	132.722	54.5672	8	2622.55	0.308898	82.1758	8.69984	47.0602	23.1433	121	29	54.5	32.584	120	261	181.333	73.9931	2	1257.03	0.14806	22.5024	22.5024	22.5024	0	66	54	60	8.48528	  Tumour 
4	108.854	559.851	326.106	1021.28	8214	119.392	89.472	0.662122	0.934046	411.304	1079.04	321.763	0.298194	288.865	865.908	748.014	65.4443	107.305	0.13092	819.622	11768	0.860548	541.522	684.422	828.33	778.5	0.326044	993.165	795.996	249.81	0.301583	720	2361	123.007	44.8517	9	1385.53	0.168679	68.0933	9.44124	31.6091	15.3079	167	44	72	39.8664	32	33	153.719	46.3785	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	32	32	32	0	  Tumour 
5	118.821	83.747	159.101	1127.88	3834	93.9592	56.1698	0.801637	0.859449	316.392	787.463	184.595	0.234417	298.886	574.335	557.695	-15.6304	96.756	0.153751	629.303	5322	0.902493	335.296	590.152	527.432	477.602	0.209524	734.727	515.894	226.326	0.429109	367	1671	135.501	57.3461	4	990.722	0.258404	68.4776	8.61444	40.4589	21.7588	154	23	73.4	57.4439	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Tumour 
6	164.496	709.281	481.864	974.054	12953	134.917	122.731	0.41532	0.97567	445.931	1116.55	327.066	0.292926	492.078	903.419	668.781	-7.43637	79.0717	0.106798	740.388	22056	0.925556	664.25	650.921	1000.36	950.525	0.644695	1083.33	956.708	339.561	0.33944	795	3857	133.981	55.8259	8	4261.51	0.328998	90.7681	10.7149	42.9066	21.6298	398	33	99.375	122.116	153	705	154.895	47.5552	2	2509.7	0.193754	55.3948	55.3948	55.3948	0	103	50	76.5	37.4767	  Tumour 
7	162.689	842.708	613.783	1001.08	9314	118.561	101.564	0.515911	0.937399	403.161	893.276	271.483	0.303919	445.897	680.148	525.319	-42.8302	54.2583	0.0908962	596.927	18426	0.877763	619.019	518.338	804.871	755.041	0.768551	765.131	820.438	318.749	0.396025	461	2543	104.373	26.2179	7	1289.08	0.138402	74.8185	12.4197	40.2771	19.4618	89	45	65.8571	18.6854	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Tumour 
8	169.535	222.103	98.9949	1025.98	7966	166.391	65.082	0.920332	0.843052	427.99	1129.12	341.261	0.302237	705.801	915.99	805.886	65.463	143.366	0.163381	877.494	9811	0.700536	641.563	910.977	1084.76	1034.93	0.840604	1126.9	1051.54	411.32	0.379179	606	1502	122.744	44.589	6	1412.02	0.177256	45.3936	9.04886	22.8853	10.6155	268	10	101	98.4865	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Tumour 
9	214.338	558.33	351.92	916.369	13072	151.074	110.757	0.680093	0.96844	463.144	1145.61	406.436	0.354777	738.203	932.481	728.924	173.271	122.743	0.153327	800.531	17047	0.926165	625.948	845.218	968.423	918.593	0.516522	1106.49	911.594	354.414	0.365971	822	3897	126.324	48.1683	11	3441.29	0.263257	90.0036	7.78759	42.2334	22.2931	194	30	74.7273	61.2407	142	686	152.676	45.3358	2	3742.76	0.286319	60.983	60.983	60.983	0	76	66	71	7.07107	  Tumour 
10	201.108	378.594	192.588	951.35	8750	123.795	91.1787	0.676404	0.962067	375.463	741.616	182.676	0.246321	348.937	528.488	498.21	-50.3843	54.5562	0.0957432	569.818	18535	0.939718	597.362	617.735	835.412	785.582	0.459707	785.773	848.195	386.778	0.462979	880	4767	113.034	34.8788	9	2140.61	0.244641	90.7029	10.6784	44.0168	23.3403	223	33	97.7778	69.1697	116	411	129.802	22.4615	2	4320.23	0.49374	37.0653	37.0653	37.0653	0	71	45	58	18.3848	  Tumour 
