rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 283.531 	 915.698 	 181.604 	 566.408 	 6822 	 119.814 	 73.372 	 0.790562 	 0.968072 	 338.534 	 671.185 	 198.391 	 0.295583 	 179.729 	 554.986 	 90 	 176 	 993.678 	 592.331 	 2 	 579.672 	 0.084971 	 16.4012 	 16.4012 	 16.4012 	 0 	 45 	 45 	 45 	 0 	 364 	 1854 	 329.456 	 13.1212 	 5 	 1349.6 	 0.19783 	 64.0419 	 8.17056 	 34.8535 	 19.2222 	 161 	 22 	 72.8 	 61.9814 	  Tumour 
2 	 317.994 	 638.562 	 63.6946 	 745.209 	 4110 	 96.1959 	 55.9873 	 0.813179 	 0.94396 	 285.907 	 809.488 	 299.124 	 0.369523 	 344.571 	 693.289 	 45 	 45 	 1861.69 	 1460.34 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 245 	 517 	 519.118 	 202.784 	 3 	 479.055 	 0.116558 	 23.0486 	 12.8667 	 18.8612 	 4.7638 	 122 	 36 	 81.6667 	 43.2474 	  Tumour 
3 	 342.27 	 697.911 	 225.584 	 721.449 	 7690 	 119.08 	 84.6845 	 0.703036 	 0.944834 	 359.706 	 1234.52 	 573.94 	 0.464909 	 847.999 	 1118.32 	 90 	 553 	 1716.43 	 1315.09 	 2 	 993.335 	 0.129172 	 72.0069 	 72.0069 	 72.0069 	 0 	 45 	 45 	 45 	 0 	 251 	 829 	 628.653 	 312.319 	 4 	 1720.39 	 0.223718 	 50.9025 	 11.9215 	 28.1521 	 16.0781 	 152 	 25 	 62.75 	 60.5661 	  Tumour 
4 	 458.285 	 968.343 	 181.604 	 498.483 	 10850 	 141.738 	 98.5616 	 0.718645 	 0.966162 	 427.002 	 706.123 	 207.053 	 0.293225 	 346.227 	 589.925 	 135 	 2699 	 1158.51 	 757.164 	 3 	 1428.73 	 0.13168 	 74.8131 	 60.208 	 66.8448 	 6.61253 	 45 	 45 	 45 	 0 	 446 	 2488 	 319.002 	 2.66741 	 3 	 3162.75 	 0.291498 	 61.281 	 43.7604 	 50.4763 	 8.45135 	 212 	 35 	 148.667 	 98.6526 	  Tumour 
5 	 578.043 	 972.733 	 299.475 	 382.845 	 5339 	 96.2431 	 71.5948 	 0.668296 	 0.970904 	 290.593 	 372.071 	 124.549 	 0.334745 	 183.754 	 255.873 	 45 	 45 	 727.8 	 326.453 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 203 	 315 	 346.222 	 29.8868 	 2 	 132.666 	 0.0248485 	 13.0099 	 13.0099 	 13.0099 	 0 	 166 	 37 	 101.5 	 91.2168 	  Tumour 
6 	 645.747 	 685.817 	 428.887 	 435.167 	 6719 	 100.066 	 86.2554 	 0.506927 	 0.975465 	 322.191 	 864.049 	 289.388 	 0.334921 	 610.56 	 747.85 	 45 	 45 	 1267.87 	 866.519 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 77 	 166 	 326.325 	 9.98985 	 2 	 2756.66 	 0.410279 	 17.4743 	 17.4743 	 17.4743 	 0 	 48 	 29 	 38.5 	 13.435 	  Tumour 
7 	 666.473 	 581.518 	 507.425 	 392.94 	 4741 	 88.4024 	 70.1448 	 0.608607 	 0.941048 	 299.706 	 523.043 	 136.016 	 0.260046 	 292.382 	 406.845 	 90 	 208 	 1218.74 	 817.397 	 2 	 1421.56 	 0.299844 	 20.2485 	 20.2485 	 20.2485 	 0 	 45 	 45 	 45 	 0 	 143 	 149 	 388.902 	 72.5673 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 143 	 143 	 143 	 0 	  Tumour 
8 	 694.062 	 746.905 	 443.465 	 398.362 	 8026 	 154.578 	 72.7658 	 0.882272 	 0.860512 	 443.404 	 687.664 	 265.088 	 0.385491 	 388.586 	 571.465 	 90 	 747 	 1096.53 	 695.186 	 2 	 652.196 	 0.0812604 	 89.1964 	 89.1964 	 89.1964 	 0 	 45 	 45 	 45 	 0 	 227 	 682 	 351.115 	 34.7797 	 2 	 4500.24 	 0.560707 	 37.3866 	 37.3866 	 37.3866 	 0 	 187 	 40 	 113.5 	 103.945 	  Tumour 
9 	 693.925 	 365.33 	 686.805 	 404.293 	 6376 	 107.279 	 76.4257 	 0.701775 	 0.963288 	 324.777 	 554.179 	 193.167 	 0.348564 	 356.244 	 437.981 	 41 	 42 	 1349.61 	 948.263 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 41 	 41 	 41 	 0 	 122 	 202 	 302.836 	 -13.4988 	 2 	 74.8746 	 0.0117432 	 16.2773 	 16.2773 	 16.2773 	 0 	 74 	 48 	 61 	 18.3848 	  Tumour 
10 	 763.893 	 554.825 	 600.601 	 293.246 	 9025 	 115.304 	 101.505 	 0.47438 	 0.970534 	 374.09 	 504.856 	 192.849 	 0.381989 	 283.084 	 388.658 	 90 	 585 	 2056.18 	 1654.83 	 2 	 989.036 	 0.109588 	 68.0074 	 68.0074 	 68.0074 	 0 	 45 	 45 	 45 	 0 	 321 	 1186 	 359.305 	 42.9705 	 4 	 1950.9 	 0.216167 	 58.5687 	 10.2609 	 31.3507 	 20.2047 	 144 	 43 	 80.25 	 46.636 	  Tumour 
