rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 90.1582 	 963.497 	 174.957 	 241.406 	 6277 	 102.053 	 79.7436 	 0.624034 	 0.966585 	 311.848 	 863.281 	 224.146 	 0.259645 	 -348.334 	 762.898 	 384.015 	 -89.0685 	 56.4693 	 0.121329 	 465.423 	 157 	 938 	 134.51 	 5.10029 	 3 	 1694.36 	 0.269931 	 47.2777 	 18.7065 	 37.7012 	 14.7134 	 61 	 39 	 52.3333 	 11.7189 	 139 	 205 	 111.597 	 21.0717 	 3 	 2054.89 	 0.327369 	 19.1861 	 9.05659 	 12.7982 	 4.97225 	 52 	 41 	 46.3333 	 5.50757 	 7319 	 0.966715 	 338.635 	 128.927 	 122.027 	 41.9211 	 0 	 0 	 0 	 19.1889 	 0.15725 	  Tumour 
2 	 99.276 	 633.268 	 78.6003 	 500.09 	 5199 	 123.254 	 60.5427 	 0.871046 	 0.856649 	 327.362 	 1501.04 	 386.055 	 0.257192 	 184.536 	 1400.65 	 710.304 	 216.508 	 179.303 	 0.226476 	 791.711 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 152 	 394 	 202.474 	 111.948 	 2 	 1864.17 	 0.358564 	 28.5775 	 28.5775 	 28.5775 	 0 	 113 	 39 	 76 	 52.3259 	 11790 	 0.832921 	 507.345 	 517.826 	 622.273 	 542.167 	 0.0364465 	 377 	 630.137 	 428.729 	 0.688971 	  Tumour 
3 	 145.525 	 570.169 	 396.97 	 501.278 	 7102 	 107.353 	 84.6135 	 0.615444 	 0.975282 	 332.434 	 1258.89 	 422.088 	 0.335286 	 67.9831 	 1158.51 	 893.383 	 407.1 	 110.844 	 0.113711 	 974.791 	 97 	 233 	 165.742 	 36.333 	 2 	 2693.28 	 0.379228 	 18.9871 	 18.9871 	 18.9871 	 0 	 51 	 46 	 48.5 	 3.53553 	 382 	 586 	 232.461 	 141.935 	 2 	 520.467 	 0.0732846 	 16.809 	 16.809 	 16.809 	 0 	 300 	 82 	 191 	 154.149 	 8155 	 0.960316 	 362.09 	 1200.59 	 1106.66 	 1026.55 	 0 	 0 	 1098.32 	 219.647 	 0.198478 	  Tumour 
4 	 207.456 	 747.886 	 244.773 	 348.834 	 6318 	 102.384 	 78.885 	 0.637463 	 0.979687 	 304.735 	 1101.87 	 305.486 	 0.277244 	 -5.8713 	 1001.48 	 591.717 	 126.442 	 77.1891 	 0.114673 	 673.124 	 57 	 57 	 153.544 	 24.1346 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 57 	 57 	 57 	 0 	 490 	 730 	 206.114 	 115.589 	 2 	 2442.6 	 0.38661 	 23.7703 	 23.7703 	 23.7703 	 0 	 447 	 43 	 245 	 285.671 	 10854 	 0.940147 	 441.203 	 527.01 	 604.541 	 524.435 	 0.29443 	 1039.19 	 526.828 	 380.405 	 0.629247 	  Tumour 
5 	 244.162 	 822.053 	 208.799 	 286.587 	 11004 	 148.53 	 95.7607 	 0.764416 	 0.953718 	 438.073 	 973.072 	 253.008 	 0.260009 	 -158.537 	 872.69 	 539.624 	 118.685 	 93.2062 	 0.150083 	 621.031 	 93 	 618 	 119.323 	 -10.0867 	 2 	 398.459 	 0.0362104 	 79.8288 	 79.8288 	 79.8288 	 0 	 58 	 35 	 46.5 	 16.2635 	 969 	 3662 	 119.798 	 29.2723 	 7 	 4177.17 	 0.379605 	 97.3119 	 11.3124 	 51.6111 	 25.4923 	 622 	 41 	 121.125 	 202.493 	 15520 	 0.901068 	 568.357 	 813.677 	 1056.3 	 976.193 	 0.342213 	 1463.62 	 962.747 	 610.846 	 0.578289 	  Tumour 
6 	 276.22 	 544.672 	 457.515 	 430.68 	 11286 	 162.939 	 93.2006 	 0.820256 	 0.955874 	 456.316 	 1155.76 	 369.203 	 0.319446 	 348.616 	 1055.38 	 632.892 	 252.315 	 90.9239 	 0.127291 	 714.299 	 114 	 332 	 161.728 	 32.3188 	 2 	 720.331 	 0.0638252 	 31.9374 	 31.9374 	 31.9374 	 0 	 62 	 52 	 57 	 7.07107 	 838 	 3140 	 168.305 	 77.7801 	 9 	 3232 	 0.286373 	 91.1074 	 7.79728 	 38.4037 	 22.7083 	 366 	 32 	 93.1111 	 106.648 	 15511 	 0.860909 	 622.583 	 734.205 	 807.221 	 727.115 	 0.156489 	 1917.6 	 705.246 	 664.825 	 0.823597 	  Tumour 
7 	 260.776 	 999.835 	 174.957 	 154.289 	 5477 	 130.428 	 57.4415 	 0.897797 	 0.867987 	 333.806 	 1137.87 	 374.035 	 0.328715 	 141.289 	 1037.49 	 667.442 	 254.08 	 80.1999 	 0.107098 	 748.849 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6921 	 0.879416 	 379.522 	 783.905 	 945.607 	 865.501 	 0.325513 	 1142.63 	 909.239 	 339.862 	 0.359411 	  Tumour 
8 	 280.799 	 925.758 	 194.551 	 217.589 	 10431 	 122.149 	 109.423 	 0.444435 	 0.974313 	 400.617 	 1122.12 	 269.976 	 0.240594 	 343.827 	 1021.74 	 679.922 	 191.552 	 111.463 	 0.146406 	 761.329 	 116 	 277 	 147.06 	 17.6511 	 2 	 362.45 	 0.0347474 	 23.5378 	 23.5378 	 23.5378 	 0 	 62 	 54 	 58 	 5.65685 	 561 	 1150 	 188.358 	 97.8329 	 5 	 2544.55 	 0.243941 	 31.2276 	 13.0124 	 20.126 	 6.31217 	 241 	 49 	 112.2 	 75.7344 	 14979 	 0.93572 	 536.701 	 904.297 	 1176.81 	 1096.7 	 0.395197 	 1403.51 	 1120.24 	 555.596 	 0.47212 	  Tumour 
9 	 372.62 	 768.718 	 343.111 	 199.484 	 11888 	 164.593 	 93.852 	 0.821501 	 0.933564 	 477.772 	 1049.43 	 348.309 	 0.331902 	 424.988 	 949.052 	 449.494 	 103.601 	 99.4585 	 0.187339 	 530.901 	 81 	 313 	 130.58 	 1.17098 	 2 	 2351.19 	 0.197779 	 33.6509 	 33.6509 	 33.6509 	 0 	 42 	 39 	 40.5 	 2.12132 	 357 	 776 	 162.765 	 72.2393 	 4 	 3794.58 	 0.319194 	 33.6208 	 15.6466 	 21.4459 	 6.4709 	 157 	 49 	 89.25 	 51.2795 	 13758 	 0.892565 	 555.428 	 740.104 	 698.672 	 618.566 	 0 	 0 	 692.813 	 380.591 	 0.544734 	  Tumour 
10 	 398.748 	 561.873 	 506.243 	 344.362 	 6555 	 125.164 	 67.7629 	 0.840771 	 0.948214 	 353.061 	 802.842 	 203.026 	 0.252884 	 -37.0193 	 702.46 	 483.358 	 92.1356 	 91.3428 	 0.161736 	 564.765 	 113 	 392 	 120.823 	 -8.58626 	 2 	 1681.42 	 0.256509 	 37.7545 	 37.7545 	 37.7545 	 0 	 59 	 54 	 56.5 	 3.53553 	 563 	 923 	 182.204 	 91.6789 	 3 	 2250.48 	 0.343322 	 32.3407 	 16.221 	 22.6984 	 7.61441 	 252 	 60 	 187.667 	 110.564 	 7808 	 0.927536 	 396.818 	 1448.2 	 1401.35 	 1321.24 	 0.245562 	 1781.64 	 1331.66 	 868.912 	 0.620054 	  Tumour 
