rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 147.313 	 217.23 	 182.543 	 504.477 	 2844 	 76.5359 	 49.9095 	 0.758127 	 0.919793 	 226.208 	 845.633 	 221.081 	 0.261438 	 -82.3125 	 755.561 	 108 	 109 	 1170.24 	 768.72 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 108 	 108 	 108 	 0 	 71 	 72 	 310.958 	 141.469 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 71 	 71 	 71 	 0 	 20.6533 	 -175.951 	 10.8552 	 0.133747 	 81.1617 	 4439 	 0.958333 	 277.74 	 95.1723 	 100.37 	 28.2115 	 0 	 0 	 0 	 17.4958 	 0.174313 	  DCIS 
2 	 249.227 	 652.978 	 373.066 	 202.425 	 2990 	 67.3129 	 57.5447 	 0.518819 	 0.964205 	 216.451 	 1068 	 407.19 	 0.381263 	 147.809 	 977.929 	 185 	 459 	 932.876 	 531.355 	 2 	 866.854 	 0.289918 	 29.337 	 29.337 	 29.337 	 0 	 108 	 77 	 92.5 	 21.9203 	 45 	 45 	 198.4 	 28.9113 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 26.5143 	 -188.462 	 15.1653 	 0.174268 	 87.0227 	 4727 	 0.965088 	 277.74 	 100.817 	 84.9885 	 12.8298 	 0 	 0 	 0 	 28.3272 	 0.333307 	  DCIS 
3 	 316.368 	 285.897 	 182.543 	 347.311 	 3750 	 88.3505 	 56.1922 	 0.771677 	 0.944109 	 250.551 	 1591.8 	 646.111 	 0.4059 	 710.49 	 1501.72 	 95 	 99 	 880.463 	 478.942 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 95 	 95 	 95 	 0 	 60 	 61 	 275.467 	 105.978 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 60 	 60 	 60 	 0 	 19.4507 	 -173.798 	 10.0225 	 0.125345 	 79.9592 	 5419 	 0.971147 	 298.426 	 92.122 	 95.458 	 23.2993 	 0 	 0 	 0 	 23.0465 	 0.24143 	  DCIS 
4 	 356.402 	 981.877 	 129.066 	 345.962 	 2846 	 92.5841 	 40.4983 	 0.899257 	 0.927338 	 240.51 	 1506.84 	 335.73 	 0.222804 	 626.435 	 1416.76 	 104 	 115 	 841.404 	 439.883 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 104 	 104 	 104 	 0 	 45 	 45 	 204.111 	 34.6224 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 147.553 	 -55.353 	 60.4085 	 0.290339 	 208.062 	 7245 	 0.757528 	 552.652 	 305.411 	 327.891 	 255.732 	 0 	 0 	 0 	 209.512 	 0.638968 	  Tumour 
5 	 424.898 	 752.908 	 77.4661 	 202.425 	 5008 	 106.182 	 61.0591 	 0.818123 	 0.961782 	 292.693 	 2087.17 	 476.139 	 0.228127 	 1095.31 	 1997.1 	 301 	 2709 	 939.339 	 537.818 	 4 	 503.849 	 0.100609 	 86.3843 	 27.3236 	 53.4364 	 21.3783 	 99 	 55 	 75.25 	 21.1719 	 229 	 1638 	 229.406 	 59.9174 	 5 	 895.303 	 0.178774 	 64.9272 	 8.90087 	 40.5906 	 19.8284 	 60 	 34 	 45.8 	 9.25743 	 254.759 	 45.7786 	 30.5093 	 0.0967727 	 315.268 	 7169 	 0.85846 	 426.409 	 343.021 	 441.788 	 369.63 	 0.302267 	 384.583 	 447.674 	 120.287 	 0.272274 	  Tumour 
6 	 482.692 	 958.614 	 129.066 	 385.217 	 9185 	 132.831 	 92.0639 	 0.720848 	 0.936671 	 402.534 	 1119.87 	 223.487 	 0.199565 	 283.365 	 1029.8 	 194 	 3149 	 791.062 	 389.541 	 3 	 1406.64 	 0.153145 	 94.8577 	 60.5585 	 73.6885 	 16.5549 	 76 	 48 	 64.6667 	 14.7422 	 257 	 2405 	 180.362 	 10.8731 	 5 	 2888.06 	 0.314432 	 91.1205 	 13.332 	 45.7201 	 27.4894 	 69 	 33 	 51.4 	 13.3529 	 396.977 	 182.523 	 120.259 	 0.26287 	 457.485 	 10963 	 0.89868 	 513.037 	 297.842 	 385.155 	 312.996 	 0.297694 	 445.176 	 372.838 	 159.861 	 0.415057 	  Tumour 
7 	 474.048 	 692.881 	 312.162 	 228.528 	 4993 	 90.4589 	 72.718 	 0.594793 	 0.940833 	 286.836 	 1497.43 	 322.804 	 0.215573 	 664.743 	 1407.35 	 167 	 486 	 899.695 	 498.173 	 2 	 722.733 	 0.144749 	 37.0181 	 37.0181 	 37.0181 	 0 	 101 	 66 	 83.5 	 24.7487 	 71 	 392 	 199.887 	 30.3986 	 2 	 1144.6 	 0.229241 	 49.5832 	 49.5832 	 49.5832 	 0 	 36 	 35 	 35.5 	 0.707107 	 271.492 	 30.2236 	 54.8684 	 0.165266 	 332.001 	 6923 	 0.893521 	 398.066 	 355.157 	 409.117 	 336.958 	 0.555858 	 356.75 	 435.01 	 114.969 	 0.281017 	  Tumour 
8 	 491.288 	 585.765 	 418.379 	 251.104 	 3018 	 98.08 	 40.1898 	 0.912191 	 0.923501 	 250.836 	 1255.24 	 384.883 	 0.30662 	 567.485 	 1165.17 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 104 	 425 	 251.221 	 81.7324 	 2 	 682.255 	 0.226062 	 45.3423 	 45.3423 	 45.3423 	 0 	 53 	 51 	 52 	 1.41421 	 499.709 	 262.485 	 160.982 	 0.287356 	 560.217 	 4383 	 0.888506 	 324.995 	 390.66 	 436.328 	 364.169 	 0.273649 	 627.605 	 399.04 	 173.418 	 0.397449 	  Tumour 
9 	 523.631 	 733.734 	 299.546 	 286.681 	 3946 	 82.5818 	 66.1104 	 0.599273 	 0.813441 	 286.35 	 1020.49 	 253.195 	 0.248112 	 473.991 	 930.418 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 51 	 53 	 195.765 	 26.276 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 51 	 51 	 51 	 0 	 307.275 	 105.929 	 66.3458 	 0.180394 	 367.784 	 6014 	 0.861358 	 387.823 	 462.249 	 489.288 	 417.129 	 0.53352 	 457.539 	 496.478 	 156.242 	 0.319325 	  Tumour 
10 	 512.883 	 852.963 	 203.199 	 331.204 	 4866 	 84.3249 	 73.8148 	 0.483469 	 0.970096 	 284.693 	 1177.89 	 216.184 	 0.183535 	 420.339 	 1087.82 	 80 	 80 	 852.25 	 450.729 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 80 	 80 	 80 	 0 	 164 	 576 	 199.36 	 29.871 	 4 	 1065.99 	 0.219069 	 25.8311 	 10.3592 	 19.4517 	 6.44006 	 51 	 29 	 41 	 9.38083 	 284.578 	 65.7533 	 44.3756 	 0.128593 	 345.086 	 9287 	 0.885826 	 476.693 	 407.478 	 503.936 	 431.777 	 0.359909 	 472.93 	 506.634 	 138.315 	 0.274469 	  Tumour 
11 	 574.221 	 533.405 	 499.124 	 346.446 	 4569 	 105.743 	 56.0026 	 0.848242 	 0.926399 	 297.279 	 1842.23 	 612.449 	 0.33245 	 1150.97 	 1752.15 	 148 	 612 	 1300.82 	 899.296 	 2 	 848.652 	 0.185741 	 59.3154 	 59.3154 	 59.3154 	 0 	 109 	 39 	 74 	 49.4975 	 137 	 273 	 276.847 	 107.358 	 3 	 1192.83 	 0.26107 	 26.8579 	 12.606 	 17.9206 	 6.96408 	 48 	 43 	 45.6667 	 2.51661 	 408.011 	 182.233 	 84.1252 	 0.179556 	 468.519 	 6384 	 0.863753 	 389.238 	 405.19 	 505.106 	 432.947 	 0.534819 	 646.755 	 450.311 	 183.473 	 0.363237 	  Tumour 
12 	 553.206 	 597.648 	 431.584 	 308.935 	 3115 	 78.7959 	 53.6237 	 0.732711 	 0.92078 	 245.48 	 1676.08 	 423.159 	 0.25247 	 687.773 	 1586.01 	 161 	 235 	 1026.75 	 625.23 	 2 	 273.057 	 0.0876588 	 13.6743 	 13.6743 	 13.6743 	 0 	 93 	 68 	 80.5 	 17.6777 	 160 	 484 	 234.475 	 64.9863 	 3 	 253.76 	 0.081464 	 27.7988 	 15.207 	 21.5147 	 5.63123 	 58 	 48 	 53.3333 	 5.03322 	 344.888 	 76.2235 	 63.944 	 0.157732 	 405.397 	 6075 	 0.930322 	 338.25 	 424.056 	 488.645 	 416.487 	 0.351351 	 599.894 	 461.08 	 185.366 	 0.379347 	  Tumour 
