rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 	
1 	 42.9835 	 145.796 	 61.9839 	 161.756 	 3877 	 88.8648 	 59.7222 	 0.740499 	 0.900372 	 281.522 	 1016.14 	 372.036 	 0.366125 	 -131.108 	 891.282 	 1188.41 	 276.919 	 222.655 	 0.172494 	 1290.8 	 5400 	 0.948533 	 309.64 	 802.929 	 785.811 	 569.712 	 0.305842 	 835.236 	 781.154 	 86.3648 	 0.109905 	 90 	 289 	 185.589 	 -21.5063 	 2 	 382.759 	 0.0987256 	 32.3883 	 32.3883 	 32.3883 	 0 	 45 	 45 	 45 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
2 	 118.788 	 214.046 	 88.6454 	 84.9294 	 8902 	 186.011 	 63.1699 	 0.940569 	 0.906425 	 456.576 	 1446.41 	 440.359 	 0.304451 	 228.229 	 1321.54 	 1073.1 	 194.989 	 267.61 	 0.22766 	 1175.48 	 11519 	 0.85307 	 558.108 	 769.703 	 828.733 	 612.633 	 0.357692 	 845.629 	 828.568 	 207.887 	 0.250849 	 136 	 519 	 211.301 	 4.20623 	 3 	 2488.49 	 0.279543 	 25.4558 	 16.6835 	 22.4113 	 4.43965 	 46 	 45 	 45.3333 	 0.57735 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
3 	 102.231 	 126.795 	 61.9839 	 170.003 	 6355 	 120.741 	 68.4311 	 0.823882 	 0.931682 	 346.534 	 1562.36 	 418.821 	 0.26807 	 425.097 	 1437.49 	 1091.58 	 300.823 	 231.909 	 0.194235 	 1193.96 	 10949 	 0.869728 	 508.877 	 865.191 	 898.843 	 682.744 	 0.517391 	 840.971 	 916.26 	 224.216 	 0.24945 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
4 	 101.492 	 296.546 	 401.842 	 84.9294 	 2377 	 69.8184 	 45.367 	 0.760117 	 0.956154 	 199.823 	 811.055 	 252.384 	 0.31118 	 -314.556 	 686.192 	 1146.51 	 330.173 	 89.2973 	 0.0715011 	 1248.89 	 4231 	 0.943998 	 277.74 	 815.031 	 840.015 	 623.916 	 0.20229 	 844.019 	 843.423 	 182.161 	 0.216854 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
5 	 194.686 	 770.231 	 642.246 	 288.475 	 4616 	 79.7933 	 76.5633 	 0.281637 	 0.936688 	 281.966 	 1271.68 	 387.825 	 0.304971 	 513.212 	 1146.82 	 456.727 	 -44.6632 	 93.0889 	 0.166495 	 559.11 	 6220 	 0.948605 	 330.853 	 747.078 	 820.026 	 603.927 	 0.232026 	 936.577 	 811.267 	 208.828 	 0.254661 	 55 	 56 	 174.436 	 -32.6589 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 55 	 55 	 55 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
6 	 231.774 	 501.774 	 403.06 	 243.282 	 2762 	 77.7771 	 45.9315 	 0.806999 	 0.961364 	 209.196 	 1737.57 	 390.347 	 0.224652 	 630.65 	 1612.71 	 409.827 	 -95.6923 	 35.758 	 0.0698112 	 512.209 	 4107 	 0.932773 	 274.083 	 691.148 	 732.512 	 516.412 	 0.25 	 1215.08 	 660.81 	 364.388 	 0.49745 	 196 	 406 	 203.52 	 -3.57483 	 4 	 464.397 	 0.168138 	 21.685 	 8.82475 	 14.5448 	 4.53607 	 70 	 34 	 49 	 15.1217 	 45 	 45 	 241.156 	 -60.7111 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
7 	 254.993 	 418.929 	 345.649 	 196.469 	 6964 	 98.7984 	 91.717 	 0.37177 	 0.968972 	 324.936 	 2237.62 	 526.058 	 0.235098 	 953.737 	 2112.75 	 627.747 	 -39.6133 	 113.729 	 0.155766 	 730.13 	 10224 	 0.87722 	 492.551 	 1046.9 	 1207.08 	 990.986 	 0.501089 	 1368.42 	 1142.27 	 313.917 	 0.260062 	 296 	 1382 	 230.747 	 23.6514 	 4 	 1648.19 	 0.236672 	 52.8513 	 15.4379 	 30.393 	 11.4409 	 97 	 41 	 59.2 	 22.4544 	 33 	 34 	 325.545 	 23.6788 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 33 	 33 	 33 	 0 	  Tumour 
8 	 287.044 	 771.63 	 671.872 	 224.1 	 10176 	 164.7 	 81.5619 	 0.868771 	 0.934178 	 438.274 	 1165.89 	 572.83 	 0.491325 	 752.977 	 1041.03 	 501.122 	 98.6543 	 179.803 	 0.297931 	 603.505 	 12986 	 0.951564 	 507.179 	 684.167 	 632.833 	 416.734 	 0.147752 	 936.029 	 614.072 	 252.308 	 0.398696 	 164 	 1717 	 179.037 	 -28.0587 	 4 	 1471.54 	 0.144609 	 92.3492 	 11.4097 	 54.8685 	 27.8542 	 65 	 31 	 41 	 16.1452 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
9 	 275.619 	 154.602 	 233.174 	 225.364 	 4246 	 94.9702 	 63.3076 	 0.745411 	 0.885875 	 286.534 	 882.583 	 276.416 	 0.31319 	 483.354 	 757.721 	 836.815 	 -16.1603 	 278.048 	 0.296048 	 939.198 	 6533 	 0.913834 	 358.853 	 518.942 	 548.518 	 332.418 	 0 	 0 	 0 	 252.341 	 0.460043 	 45 	 45 	 156.511 	 -50.5841 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
10 	 318.067 	 368.55 	 354.054 	 228.633 	 3704 	 76.0155 	 67.085 	 0.470281 	 0.854047 	 264.652 	 1946.03 	 709.033 	 0.364349 	 750.095 	 1821.16 	 682.287 	 8.39715 	 82.6146 	 0.105286 	 784.669 	 10195 	 0.703055 	 603.22 	 1089.67 	 1089.19 	 873.088 	 0.46223 	 1266.57 	 1040.12 	 305.532 	 0.280513 	 229 	 1128 	 211.227 	 4.13184 	 4 	 753.516 	 0.203433 	 51.4828 	 13.9133 	 31.6162 	 14.7971 	 106 	 38 	 57.25 	 32.6331 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
11 	 378.131 	 992.592 	 135.059 	 228.254 	 3895 	 97.7331 	 51.5173 	 0.84979 	 0.964825 	 258.936 	 838.98 	 279.602 	 0.333265 	 555.726 	 714.118 	 656.736 	 47.9238 	 308.038 	 0.405783 	 759.118 	 5894 	 0.967816 	 324.569 	 457.571 	 391.62 	 175.521 	 0 	 0 	 0 	 85.7345 	 0.218923 	 649 	 691 	 286.176 	 79.0804 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 649 	 649 	 649 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Lymph 
12 	 375.654 	 373.112 	 403.011 	 195.412 	 3516 	 70.8885 	 63.5369 	 0.443461 	 0.976124 	 224.995 	 2313.65 	 396.852 	 0.171527 	 1164.25 	 2188.78 	 618.297 	 20.3843 	 53.6348 	 0.0744225 	 720.68 	 7750 	 0.898863 	 410.451 	 1027.24 	 1291.3 	 1075.2 	 0.486631 	 1378.42 	 1245.72 	 340.428 	 0.263632 	 291 	 947 	 216.546 	 9.45115 	 5 	 506.81 	 0.144144 	 33.9706 	 11.2694 	 23.4366 	 7.2068 	 112 	 44 	 58.2 	 30.0782 	 45 	 48 	 276.356 	 -25.5111 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
13 	 402.602 	 511.829 	 513.377 	 308.058 	 5409 	 99.0698 	 71.9045 	 0.68791 	 0.898207 	 318.191 	 1197.62 	 440.984 	 0.368218 	 924.558 	 1072.75 	 518.444 	 131.307 	 90.3097 	 0.145467 	 620.827 	 6864 	 0.833515 	 412.551 	 934.641 	 912.288 	 696.188 	 0.411609 	 1208.13 	 832.858 	 306.407 	 0.335866 	 276 	 1759 	 184.623 	 -22.472 	 5 	 895.866 	 0.165625 	 70.917 	 10.4907 	 36.1728 	 20.3362 	 67 	 45 	 55.2 	 8.84308 	 53 	 61 	 212.34 	 -89.527 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 53 	 53 	 53 	 0 	  Tumour 
14 	 433.593 	 207.394 	 395.73 	 61.9839 	 4994 	 90.6224 	 73.0541 	 0.591727 	 0.939605 	 313.362 	 774.668 	 256.855 	 0.331568 	 500.063 	 649.805 	 711.612 	 147.854 	 118.376 	 0.145427 	 813.995 	 6602 	 0.96169 	 342.066 	 480.151 	 425.852 	 209.753 	 0.205788 	 552.188 	 411.545 	 125.886 	 0.295609 	 90 	 187 	 146.867 	 -60.2286 	 2 	 1804.23 	 0.36128 	 17.8045 	 17.8045 	 17.8045 	 0 	 45 	 45 	 45 	 0 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
15 	 430.436 	 299.376 	 416.147 	 103.856 	 2590 	 61.1621 	 54.4937 	 0.454056 	 0.971857 	 195.723 	 693.87 	 187.265 	 0.269884 	 386.681 	 569.008 	 472.217 	 -5.9736 	 165.845 	 0.288627 	 574.599 	 6589 	 0.87643 	 400.409 	 967.242 	 1097.26 	 881.165 	 0.304582 	 1476.85 	 1014.3 	 566.032 	 0.515858 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
