rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 68.8939 	 1589.55 	 63.561 	 346.954 	 4347 	 111.909 	 52.4234 	 0.883493 	 0.909985 	 299.279 	 578.378 	 130.728 	 0.226026 	 -168.552 	 521.522 	 6270 	 0.981221 	 319.338 	 957.247 	 1072.09 	 820.187 	 0.0993151 	 1593.52 	 1031.04 	 540.443 	 0.504101 	 26 	 26 	 304.231 	 68.519 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 26 	 26 	 26 	 0 	 326.587 	 -39.5748 	 71.2707 	 0.16021 	 444.857 	 447 	 1099 	 404.649 	 212.389 	 6 	 1169.24 	 0.268976 	 50.5661 	 10.9344 	 27.5272 	 13.2848 	 147 	 26 	 74.5 	 52.1795 	  Tumour 
2 	 126.692 	 1616.45 	 63.561 	 359.951 	 5522 	 118.655 	 63.5444 	 0.84451 	 0.920794 	 320.978 	 995.183 	 431.51 	 0.433599 	 294.667 	 938.327 	 5762 	 0.980766 	 305.723 	 575.283 	 677.495 	 425.59 	 0.0732601 	 2098.6 	 625.96 	 459.896 	 0.678819 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 150.268 	 -184.697 	 98.7413 	 0.3677 	 268.538 	 73 	 109 	 307.849 	 115.59 	 2 	 1775.48 	 0.321529 	 10.0443 	 10.0443 	 10.0443 	 0 	 40 	 33 	 36.5 	 4.94975 	  Tumour 
3 	 173.454 	 1258.53 	 613.039 	 122.984 	 6850 	 157.696 	 62.6115 	 0.917802 	 0.857536 	 394.635 	 609.691 	 170.237 	 0.279219 	 -10.4115 	 552.836 	 6882 	 0.938625 	 362.451 	 601.352 	 449.945 	 198.04 	 0 	 0 	 0 	 165.193 	 0.367141 	 72 	 276 	 260.861 	 25.1493 	 2 	 1333.22 	 0.19463 	 33.4072 	 33.4072 	 33.4072 	 0 	 48 	 24 	 36 	 16.9706 	 108.673 	 -205.104 	 75.1358 	 0.331078 	 226.943 	 95 	 292 	 259.526 	 67.2669 	 2 	 835.969 	 0.122039 	 32.0838 	 32.0838 	 32.0838 	 0 	 54 	 41 	 47.5 	 9.19239 	  DCIS 
4 	 268.086 	 1176.31 	 459.344 	 126.151 	 4342 	 89.3263 	 64.9049 	 0.687056 	 0.901765 	 285.522 	 1035.68 	 341.199 	 0.329443 	 154.202 	 978.829 	 4452 	 0.977387 	 260.752 	 1350.91 	 1403.06 	 1151.15 	 0.248927 	 1374.4 	 1411.54 	 553.338 	 0.394381 	 134 	 370 	 317.425 	 81.7136 	 4 	 1262.21 	 0.290698 	 24.8185 	 7.21812 	 15.508 	 6.19773 	 51 	 24 	 33.5 	 12.5033 	 312.396 	 -95.2994 	 62.4357 	 0.144975 	 430.666 	 426 	 581 	 651.85 	 459.59 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 426 	 426 	 426 	 0 	  Tumour 
5 	 301.688 	 78.8519 	 467.472 	 232.138 	 4922 	 177.069 	 38.8507 	 0.975633 	 0.89556 	 399.772 	 683.974 	 350.908 	 0.513043 	 62.4968 	 627.118 	 4421 	 0.938442 	 329.161 	 417.82 	 426.989 	 175.084 	 0 	 0 	 0 	 170.255 	 0.398733 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 34.5114 	 -257.957 	 15.9806 	 0.104598 	 152.781 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Fib 
6 	 293.752 	 1237.33 	 418.61 	 122.984 	 5629 	 92.4211 	 79.7376 	 0.505607 	 0.953744 	 307.321 	 1149.91 	 388.219 	 0.337609 	 310.118 	 1093.05 	 6963 	 0.974664 	 329.22 	 1408.46 	 1628.25 	 1376.34 	 0.48227 	 1332.15 	 1709.18 	 613.927 	 0.377048 	 226 	 632 	 314.217 	 78.505 	 5 	 1723.68 	 0.306215 	 31.241 	 11.0764 	 18.6744 	 7.02624 	 60 	 23 	 45.2 	 17.6975 	 364.034 	 -32.5159 	 113.274 	 0.23486 	 482.304 	 483 	 1548 	 564.122 	 371.863 	 3 	 959 	 0.170368 	 60.2941 	 16.7604 	 41.584 	 20.0365 	 352 	 26 	 161 	 170.062 	  Tumour 
7 	 304.611 	 1111.75 	 533.085 	 197.568 	 5119 	 100.623 	 68.216 	 0.735122 	 0.868363 	 340.735 	 990.826 	 296.339 	 0.299083 	 314.741 	 933.97 	 5021 	 0.981623 	 277.48 	 1319.76 	 1881.63 	 1629.72 	 0.243902 	 2375.33 	 1809.62 	 542.072 	 0.288087 	 239 	 1169 	 301.778 	 66.0665 	 4 	 582.858 	 0.113862 	 46.9906 	 13.8672 	 33.1636 	 14.0067 	 71 	 54 	 59.75 	 7.63217 	 348.23 	 -44.9376 	 87.9006 	 0.188426 	 466.5 	 701 	 1583 	 487.064 	 294.805 	 4 	 402.968 	 0.07872 	 49.673 	 11.4353 	 28.8938 	 15.1048 	 438 	 22 	 175.25 	 194.493 	  Tumour 
8 	 307.186 	 1043.62 	 595.617 	 253.34 	 3916 	 76.9951 	 67.2063 	 0.487961 	 0.89652 	 275.179 	 1068.79 	 400.07 	 0.374321 	 372.192 	 1011.93 	 3892 	 0.991845 	 229.681 	 1472.6 	 1770.39 	 1518.48 	 0.235294 	 2038.6 	 1716.98 	 554.447 	 0.313178 	 148 	 345 	 288.061 	 52.349 	 3 	 805.172 	 0.205611 	 20.5183 	 12.6182 	 16.1057 	 3.60495 	 57 	 34 	 49.3333 	 13.2791 	 313.432 	 -68.5045 	 94.4257 	 0.218729 	 431.701 	 280 	 459 	 406.236 	 213.976 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 0 	 239 	 41 	 140 	 140.007 	  Tumour 
9 	 340.883 	 1173.98 	 497.031 	 188.279 	 3124 	 64.5632 	 63.2279 	 0.202324 	 0.927278 	 240.894 	 1039.89 	 136.178 	 0.130954 	 282.872 	 983.037 	 2866 	 0.942763 	 216.368 	 1003.2 	 1643.79 	 1391.88 	 0.260204 	 1507.2 	 1641.87 	 517.028 	 0.314535 	 103 	 237 	 273.524 	 37.8125 	 2 	 692.856 	 0.221785 	 24.2894 	 24.2894 	 24.2894 	 0 	 57 	 46 	 51.5 	 7.77817 	 337.016 	 -80.0932 	 106.802 	 0.234583 	 455.286 	 323 	 786 	 418.644 	 226.385 	 4 	 570.887 	 0.182742 	 28.5298 	 12.3899 	 20.6544 	 5.26136 	 117 	 46 	 80.75 	 29.0445 	  Tumour 
10 	 354.631 	 1254.54 	 440.478 	 182.044 	 3801 	 96.7116 	 54.2774 	 0.82766 	 0.845794 	 276.108 	 1097.3 	 314.836 	 0.28692 	 574.414 	 1040.44 	 4554 	 0.839138 	 310.593 	 1208.56 	 1575.77 	 1323.86 	 0.503704 	 1541.82 	 1583.44 	 431.731 	 0.273981 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 379.125 	 32.7805 	 77.4701 	 0.155752 	 497.394 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Tumour 
