rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 70.5533 	 49.0139 	 132.774 	 420.672 	 2512 	 66.3559 	 48.6728 	 0.679678 	 0.973266 	 194.066 	 1255.2 	 513.082 	 0.408764 	 320.648 	 1174.68 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3096 	 0.970533 	 214.167 	 105.115 	 83.2312 	 29.8401 	 0 	 0 	 0 	 15.9206 	 0.191282 	 34.0489 	 -68.7179 	 11.8513 	 0.141078 	 84.0052 	 64 	 66 	 133.562 	 13.9636 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 64 	 64 	 64 	 0 	  DCIS 
2 	 98.0071 	 178.583 	 132.774 	 296.22 	 984 	 51.5525 	 26.293 	 0.86016 	 0.936251 	 136.711 	 747.461 	 287.3 	 0.384367 	 112.853 	 666.942 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 1387 	 0.942896 	 155.74 	 93.9834 	 79.0786 	 25.6875 	 0 	 0 	 0 	 6.10115 	 0.077153 	 26.3883 	 -7.0439 	 8.47126 	 0.110961 	 76.3445 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  Other 
3 	 203.949 	 477.518 	 77.3175 	 187.216 	 4750 	 83.8137 	 72.7444 	 0.496688 	 0.974159 	 275.522 	 905.96 	 240.885 	 0.265889 	 214.334 	 825.441 	 75 	 215 	 561.8 	 132.566 	 2 	 423.707 	 0.0892016 	 24.5661 	 24.5661 	 24.5661 	 0 	 45 	 30 	 37.5 	 10.6066 	 6601 	 0.862989 	 397.647 	 1194.41 	 1471.45 	 1418.06 	 0.242604 	 1414.48 	 1472.7 	 686.254 	 0.466379 	 285.338 	 113.498 	 41.1034 	 0.122589 	 335.294 	 526 	 2004 	 243.567 	 123.968 	 4 	 737.628 	 0.15529 	 50.1128 	 16.3444 	 36.4834 	 11.7325 	 156 	 87 	 131.5 	 30.5778 	  Tumour 
4 	 195.087 	 290.861 	 271.919 	 149.04 	 1809 	 67.8922 	 34.0683 	 0.864984 	 0.969973 	 174.853 	 868.484 	 292.59 	 0.336898 	 170.806 	 787.965 	 45 	 45 	 474.067 	 44.8326 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 2325 	 0.970367 	 193.296 	 146.775 	 137.665 	 84.2736 	 0 	 0 	 0 	 61.0451 	 0.443433 	 54.2107 	 7.56185 	 13.5145 	 0.129739 	 104.167 	 66 	 69 	 145.045 	 25.4466 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 66 	 66 	 66 	 0 	  DCIS 
5 	 224.825 	 559.226 	 83.678 	 221.054 	 3271 	 71.0453 	 58.9995 	 0.557095 	 0.968324 	 225.723 	 593.59 	 209.049 	 0.352178 	 -58.1846 	 513.071 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 7037 	 0.865773 	 424.392 	 1281.01 	 1777.13 	 1723.74 	 0.232804 	 1886 	 1743.58 	 607.545 	 0.341868 	 225.794 	 61.5011 	 44.2259 	 0.160384 	 275.75 	 45 	 45 	 330.844 	 211.246 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  Tumour 
6 	 242.815 	 697.158 	 222.445 	 217.911 	 3903 	 80.8741 	 61.7116 	 0.64633 	 0.981887 	 238.108 	 1007.55 	 340.703 	 0.338151 	 351.475 	 927.027 	 34 	 34 	 444.5 	 15.266 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 34 	 34 	 34 	 0 	 6775 	 0.890042 	 376.735 	 1190.19 	 1458.99 	 1405.6 	 0.253012 	 2108.13 	 1365.85 	 791.413 	 0.54244 	 182.579 	 20.8264 	 68.5831 	 0.294936 	 232.536 	 365 	 767 	 233.868 	 114.27 	 2 	 1027.91 	 0.263364 	 31.4077 	 31.4077 	 31.4077 	 0 	 241 	 124 	 182.5 	 82.7315 	  Tumour 
7 	 254.716 	 44.0763 	 184.068 	 374.433 	 2557 	 74.0441 	 44.7732 	 0.796467 	 0.967095 	 204.752 	 1118.01 	 414.275 	 0.370548 	 630.099 	 1037.49 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3133 	 0.965485 	 223.539 	 148.849 	 140.777 	 87.3861 	 0 	 0 	 0 	 59.4704 	 0.422443 	 73.5213 	 15.8087 	 24.1284 	 0.195408 	 123.478 	 4 	 4 	 140.75 	 21.1511 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 4 	 4 	 4 	 0 	  DCIS 
8 	 272.851 	 418.453 	 91.4385 	 149.04 	 2987 	 69.4591 	 55.5355 	 0.600609 	 0.969805 	 212.309 	 798.157 	 220.211 	 0.275899 	 367.921 	 717.638 	 83 	 182 	 471.048 	 41.8142 	 2 	 278.215 	 0.0931419 	 17.4887 	 17.4887 	 17.4887 	 0 	 45 	 38 	 41.5 	 4.94975 	 4612 	 0.910383 	 302.149 	 939.249 	 1081.17 	 1027.78 	 0.214008 	 1276.04 	 1046.61 	 438.977 	 0.40602 	 203.574 	 61.0347 	 46.9219 	 0.185074 	 253.53 	 247 	 323 	 237.587 	 117.988 	 2 	 445.151 	 0.149029 	 17.0687 	 17.0687 	 17.0687 	 0 	 131 	 116 	 123.5 	 10.6066 	  Tumour 
9 	 266.284 	 160.968 	 224.876 	 257.095 	 2789 	 91.4803 	 39.6595 	 0.901139 	 0.953504 	 226.208 	 1033.55 	 398.087 	 0.385164 	 543.613 	 953.034 	 36 	 37 	 541.833 	 112.599 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 36 	 36 	 36 	 0 	 3463 	 0.954257 	 245.238 	 143.038 	 123.888 	 70.4973 	 0 	 0 	 0 	 36.4951 	 0.294581 	 80.6662 	 30.4716 	 28.975 	 0.221822 	 130.622 	 122 	 223 	 139.254 	 19.6552 	 2 	 689.894 	 0.247363 	 18.299 	 18.299 	 18.299 	 0 	 67 	 55 	 61 	 8.48528 	  DCIS 
10 	 280.786 	 484.997 	 77.3175 	 200.602 	 1446 	 46.8436 	 39.481 	 0.538187 	 0.955086 	 149.196 	 652.165 	 111.579 	 0.17109 	 379.613 	 571.646 	 84 	 180 	 488.893 	 59.6588 	 2 	 207.696 	 0.143635 	 17.462 	 17.462 	 17.462 	 0 	 44 	 40 	 42 	 2.82843 	 3689 	 0.903502 	 273.279 	 1116.08 	 1351.6 	 1298.21 	 0.40678 	 1492.36 	 1315.85 	 405.323 	 0.299883 	 330.729 	 11.5879 	 43.5105 	 0.114295 	 380.685 	 239 	 411 	 282.268 	 162.669 	 2 	 209.05 	 0.144571 	 19.258 	 19.258 	 19.258 	 0 	 149 	 90 	 119.5 	 41.7193 	  Tumour 
