rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	CellLabels 
1	55.0784	93.6815	105.19	426.138	7102	112.651	80.6423	0.698246	0.977698	332.877	1385.53	537.337	0.38782	615.871	485.2024	113.916	-75.4302	27.0866	0.118718	228.16	9370	0.980946	377.539	47.0685	45.8174	1.68071	0	0	0	5.47289	0.11945	118	123	160.237	77.1613	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	118	118	118	0	264	600	126.496	31.6877	2	707.389	0.0996041	27.8037	27.8037	27.8037	0	141	123	132	12.7279	  DCIS 
2	37.1926	719.4	65.9697	309.095	4511	148.455	40.6778	0.961727	0.860221	397.103	592.946	98.2521	0.165702	297.332	166.6634	71.4567	-41.8065	26.4543	0.142457	185.701	7454	0.930819	408.936	49.7868	48.7486	4.61195	0.154054	48.7368	47.9032	7.66642	0.157264	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Fib 
3	37.5781	959.103	865.167	280.508	4620	114.574	51.6208	0.892754	0.979852	287.179	1053.65	299.321	0.28408	538.604	407.9354	126.938	-148.15	36.364	0.150774	241.182	7004	0.979033	342.024	49.6659	47.5723	3.43563	0	0	0	3.44577	0.0724321	138	408	135.92	52.8443	2	756.208	0.163681	35.5106	35.5106	35.5106	0	69	69	69	0	75	77	115.133	20.3248	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	75	75	75	0	  DCIS 
4	100.7	703.172	610.735	265.548	6486	173.274	48.1464	0.960621	0.952843	415.706	799.427	179.241	0.224211	425.331	294.6624	79.435	6.31116	17.7183	0.0914828	193.679	9737	0.937693	475.38	54.8285	53.2109	9.07418	0.129252	46.7193	54.0448	8.16998	0.15354	163	729	108.049	24.9731	2	319.116	0.0492007	55.8618	55.8618	55.8618	0	88	75	81.5	9.19239	163	669	87.8221	-6.98642	2	2454.65	0.378453	63.1589	63.1589	63.1589	0	116	47	81.5	48.7904	  Fib 
5	147.421	43.1223	105.19	414.706	1897	70.1736	34.9386	0.867241	0.960506	182.752	647.22	116.549	0.180076	279.431	148.7624	103.078	-87.8468	57.2512	0.263439	217.322	3691	0.970294	246.811	46.1425	43.1703	-0.966396	0	0	0	4.15403	0.0962242	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
6	183.229	621.895	543.294	194.928	4920	96.7447	65.5763	0.73522	0.976772	280.693	1370.72	494.707	0.360909	933.992	803.3234	284.714	-33.9529	76.5222	0.191806	398.957	6155	0.911177	334.894	361.287	243.066	198.929	0.211221	215.609	248.189	147.919	0.608557	147	294	142.272	59.1962	2	559.307	0.11368	19.87	19.87	19.87	0	78	69	73.5	6.36396	185	407	112.854	18.0455	2	667.411	0.135653	29.2497	29.2497	29.2497	0	98	87	92.5	7.77817	  DCIS 
7	172.862	699.891	617.382	217.607	2852	87.4169	44.1234	0.863268	0.937541	240.853	899.81	241.947	0.268886	494.258	363.5894	115.63	-63.8047	36.6088	0.159256	229.874	4816	0.950276	290.225	92.6557	105.61	61.4736	0.235294	229.359	89.3292	98.9744	0.937166	74	78	119.595	36.5186	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	74	74	74	0	81	83	92.3704	-2.43814	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	81	81	81	0	  DCIS 
8	239.553	225.005	226.685	210.381	3519	92.1081	49.6405	0.842345	0.962791	249.38	1087.76	371.365	0.341404	796.957	666.2884	84.8625	29.7702	44.0982	0.221481	199.106	5771	0.969264	309.924	50.2757	47.0954	2.9587	0	0	0	5.71809	0.121415	103	105	124.806	41.7299	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	103	103	103	0	92	93	100.707	5.89801	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	92	92	92	0	  DCIS 
9	305.075	872.72	75.6637	217.607	6361	130.299	64.4168	0.869247	0.907806	357.161	856.168	188.935	0.220675	573.667	442.9984	326.254	-120.441	96.8637	0.219896	440.498	10617	0.931806	457.99	382.628	569.888	525.751	0.49	596.056	564.325	244.541	0.429105	884	2670	133.822	50.7464	5	973.048	0.152971	75.1436	12.274	39.8685	20.035	328	69	176.8	103.575	203	238	108.133	13.3245	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	203	203	203	0	  Tumour 
10	342.473	938.973	75.6637	292.715	8571	116.39	96.7348	0.55608	0.960767	372.233	870.129	160.713	0.1847	435.641	304.9724	302.397	-181.245	119.01	0.285642	416.641	11204	0.92595	459.463	484.871	726.017	681.88	0.622871	705.867	733.094	392.169	0.540164	1292	5265	143.116	60.0401	6	3507.56	0.409236	90.4343	11.653	55.3816	22.4238	889	55	215.333	330.729	176	901	95.4432	0.634671	2	1104.33	0.128845	78.1098	78.1098	78.1098	0	104	72	88	22.6274	  Tumour 
