rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 23.1606 	 916.973 	 73.9797 	 536.792 	 3494 	 84.246 	 55.0089 	 0.757396 	 0.983948 	 238.61 	 1848.01 	 324.253 	 0.175461 	 506.34 	 1532.43 	 146.454 	 -33.2747 	 33.4489 	 0.120416 	 277.778 	 113 	 185 	 119.522 	 25.1993 	 2 	 178.027 	 0.0509523 	 15.4047 	 15.4047 	 15.4047 	 0 	 62 	 51 	 56.5 	 7.77817 	 343 	 681 	 352.65 	 234.63 	 4 	 1054.84 	 0.3019 	 26.6073 	 11.3527 	 17.0152 	 5.01121 	 184 	 17 	 85.75 	 70.6559 	 5090 	 0.892669 	 328.309 	 779.029 	 1021.01 	 918.618 	 0.260135 	 1397.48 	 1016.99 	 348.772 	 0.341597 	  Tumour 
2 	 35.0096 	 755.979 	 52.7731 	 585.017 	 3021 	 88.1071 	 47.7 	 0.840774 	 0.906119 	 243.966 	 2014.66 	 438.481 	 0.217645 	 447.788 	 1699.09 	 181.713 	 -4.2972 	 55.8103 	 0.178286 	 313.037 	 215 	 595 	 114.86 	 20.5377 	 3 	 408.848 	 0.135335 	 22.9786 	 18.2534 	 21.0752 	 2.22972 	 100 	 53 	 71.6667 	 24.9466 	 303 	 419 	 420.046 	 302.026 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 303 	 303 	 303 	 0 	 4293 	 0.849258 	 321.421 	 988.354 	 1536.37 	 1433.98 	 0.471429 	 1364.66 	 1593.54 	 721.762 	 0.469784 	  Tumour 
3 	 48.9979 	 2385.65 	 41.6773 	 398.001 	 4285 	 133.57 	 41.4663 	 0.950591 	 0.944041 	 317.019 	 1665.4 	 532.992 	 0.320039 	 418.173 	 1349.82 	 99.3067 	 -46.8019 	 21.1074 	 0.0915201 	 230.631 	 139 	 572 	 125.64 	 31.3175 	 2 	 646.366 	 0.150844 	 51.1321 	 51.1321 	 51.1321 	 0 	 73 	 66 	 69.5 	 4.94975 	 201 	 1122 	 157.796 	 39.7756 	 4 	 788.957 	 0.184121 	 80.1079 	 11.7991 	 48.9493 	 25.9894 	 62 	 42 	 50.25 	 8.88351 	 5149 	 0.95158 	 340.735 	 160.574 	 147.311 	 44.9225 	 0.125 	 133.054 	 147.014 	 79.8774 	 0.542237 	  Fib 
4 	 63.5874 	 1162.63 	 249.393 	 337.136 	 8374 	 127.093 	 84.2647 	 0.748607 	 0.964191 	 371.505 	 2135.41 	 575.082 	 0.269308 	 822.506 	 1819.84 	 107.993 	 -37.8066 	 35.3581 	 0.147746 	 239.317 	 154 	 772 	 111.058 	 16.7357 	 2 	 1191.88 	 0.142331 	 69.088 	 69.088 	 69.088 	 0 	 80 	 74 	 77 	 4.24264 	 204 	 1423 	 159.216 	 41.1953 	 4 	 735.355 	 0.087814 	 70.1245 	 17.1404 	 45.4858 	 20.8738 	 80 	 24 	 51 	 22.9056 	 11537 	 0.929055 	 465.688 	 624.484 	 786.048 	 683.659 	 0.100251 	 1173.4 	 758.505 	 348.608 	 0.443495 	  Tumour 
5 	 46.2294 	 1532.78 	 103.238 	 277.908 	 2598 	 70.4558 	 49.4233 	 0.712689 	 0.933525 	 215.966 	 1335.61 	 299.356 	 0.224134 	 -29.3294 	 1020.04 	 72.0073 	 -86.0539 	 29.5125 	 0.145145 	 203.331 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 3173 	 0.95977 	 225.095 	 111.306 	 101.613 	 -0.77529 	 0 	 0 	 0 	 17.6906 	 0.174097 	  DCIS 
6 	 60.1294 	 460.849 	 457.499 	 408.73 	 4684 	 87.0497 	 69.2229 	 0.606333 	 0.970174 	 264.794 	 1838.02 	 331.325 	 0.180262 	 581.123 	 1522.45 	 162.542 	 -8.3049 	 53.2496 	 0.181204 	 293.866 	 224 	 612 	 115.576 	 21.2531 	 4 	 728.432 	 0.155515 	 39.2465 	 9.99278 	 23.0425 	 11.5766 	 80 	 35 	 56 	 21.4942 	 461 	 933 	 332.241 	 214.22 	 6 	 1163.17 	 0.248328 	 33.5076 	 12.1453 	 20.9797 	 7.34915 	 116 	 27 	 76.8333 	 40.8285 	 5464 	 0.916164 	 318.836 	 930.141 	 1343.61 	 1241.23 	 0.462094 	 1570.23 	 1257.74 	 540.834 	 0.402522 	  Tumour 
7 	 56.1835 	 828.33 	 94.921 	 561.854 	 4469 	 82.0041 	 70.8365 	 0.503807 	 0.965435 	 265.765 	 2085.4 	 467.494 	 0.224175 	 730.577 	 1769.83 	 205.192 	 31.6823 	 60.344 	 0.17932 	 336.516 	 151 	 376 	 123.894 	 29.5713 	 3 	 605.807 	 0.135558 	 31.1738 	 11.1803 	 21.2309 	 8.94174 	 61 	 45 	 50.3333 	 9.2376 	 572 	 1131 	 295.731 	 177.71 	 3 	 1014.03 	 0.226903 	 24.2204 	 18.7359 	 22.1995 	 2.69537 	 499 	 28 	 190.667 	 267.16 	 4902 	 0.947063 	 295.421 	 950.954 	 1372.8 	 1270.41 	 0.448819 	 1407.81 	 1343.32 	 569.176 	 0.414611 	  Tumour 
8 	 52.0581 	 366.926 	 550.764 	 356.18 	 3183 	 73.3469 	 55.4142 	 0.655139 	 0.981499 	 214.995 	 1255.81 	 266.024 	 0.211834 	 -37.7133 	 940.243 	 100.301 	 -74.4308 	 40.5185 	 0.174932 	 231.625 	 45 	 46 	 108.444 	 14.1217 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	 106 	 244 	 165.613 	 47.5928 	 4 	 545.061 	 0.171241 	 23.9006 	 8.37967 	 13.7479 	 5.74205 	 33 	 15 	 26.5 	 7.93725 	 5549 	 0.815909 	 367.362 	 838.393 	 1266.32 	 1163.93 	 0.0886076 	 1864.82 	 1227.36 	 618.109 	 0.488115 	  Tumour 
9 	 60.9134 	 537.563 	 380.9 	 465.242 	 5186 	 95.606 	 70.0238 	 0.680852 	 0.959482 	 289.522 	 1710.03 	 332.947 	 0.194703 	 339.668 	 1394.46 	 154.616 	 -22.7571 	 41.374 	 0.144694 	 285.94 	 196 	 717 	 105.005 	 10.6823 	 4 	 704.383 	 0.135824 	 29.6699 	 14.1412 	 22.1478 	 6.18735 	 72 	 37 	 49 	 15.6844 	 598 	 1392 	 285.694 	 167.674 	 6 	 2188.9 	 0.422078 	 44.1854 	 12.7204 	 24.4815 	 8.9563 	 221 	 27 	 85.4286 	 64.6268 	 5825 	 0.946847 	 320.492 	 720.551 	 1185.53 	 1083.14 	 0.530686 	 1660.48 	 989.067 	 704.842 	 0.594537 	  Tumour 
10 	 60.9608 	 1990.2 	 396.182 	 704.418 	 2196 	 63.4363 	 44.4811 	 0.712972 	 0.969109 	 183.439 	 1618.64 	 407.217 	 0.25158 	 336.328 	 1303.07 	 48.5279 	 -101.558 	 12.2327 	 0.0680155 	 179.852 	 69 	 70 	 95.6957 	 1.37288 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 69 	 69 	 69 	 0 	 114 	 231 	 156.711 	 38.6901 	 2 	 589.615 	 0.268495 	 20.204 	 20.204 	 20.204 	 0 	 60 	 54 	 57 	 4.24264 	 2664 	 0.972973 	 197.539 	 97.8694 	 90.7955 	 -11.5929 	 0 	 0 	 0 	 15.8097 	 0.174124 	  DCIS 
11 	 87.007 	 746.744 	 181.648 	 534.462 	 4454 	 99.3745 	 58.6188 	 0.807493 	 0.935321 	 282.25 	 1712.03 	 491.37 	 0.287011 	 507.721 	 1396.45 	 132.688 	 -40.7173 	 50.956 	 0.193007 	 264.012 	 188 	 353 	 108.777 	 14.4538 	 4 	 976.486 	 0.219238 	 23.0868 	 9.31553 	 13.8468 	 4.64911 	 60 	 38 	 47 	 9.27362 	 307 	 433 	 416.743 	 298.722 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 0 	 288 	 19 	 153.5 	 190.212 	 5528 	 0.898132 	 335.421 	 994.732 	 1345.65 	 1243.26 	 0.477816 	 1218.76 	 1391.06 	 718.142 	 0.533679 	  Tumour 
12 	 85.4648 	 149.431 	 770.499 	 268.263 	 4434 	 89.3623 	 63.6392 	 0.70203 	 0.964123 	 264.551 	 2420.72 	 567.245 	 0.234329 	 1094.63 	 2105.15 	 156.63 	 -25.0144 	 33.7283 	 0.117131 	 287.954 	 173 	 279 	 132.896 	 38.5732 	 2 	 712.63 	 0.16072 	 18.0902 	 18.0902 	 18.0902 	 0 	 107 	 66 	 86.5 	 28.9914 	 471 	 749 	 359.597 	 241.576 	 3 	 540.487 	 0.121896 	 19.9631 	 7.03102 	 14.1194 	 5.86319 	 412 	 19 	 157 	 221.086 	 9599 	 0.84528 	 528.233 	 916.049 	 1500.59 	 1398.2 	 0.326226 	 1697.16 	 1458.03 	 537.788 	 0.358384 	  Tumour 
