rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 	
1 	 85.0465 	 750.214 	 177.539 	 70.0286 	 4990 	 94.1403 	 69.6012 	 0.673338 	 0.941154 	 303.22 	 1250.51 	 296.461 	 0.237072 	 137.062 	 891.308 	 7219 	 0.964333 	 342.25 	 1017.34 	 1071.71 	 254.886 	 0.126667 	 1030.66 	 1081.47 	 152.798 	 0.142574 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 66.6903 	 -28.685 	 19.0884 	 0.12794 	 149.199 	 178 	 432 	 96.5112 	 31.1907 	 2 	 2875.22 	 0.576197 	 27.3412 	 27.3412 	 27.3412 	 0 	 133 	 45 	 89 	 62.2254 	  Tumour 
2 	 116.707 	 474.28 	 100.245 	 77.3692 	 1953 	 64.7042 	 42.1485 	 0.758732 	 0.885313 	 200.066 	 973.963 	 122.052 	 0.125315 	 -45.1171 	 614.76 	 3940 	 0.938766 	 263.012 	 782.232 	 845.562 	 28.7407 	 0.183267 	 1192.87 	 802.35 	 263.722 	 0.31189 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 40.6402 	 -78.2011 	 14.8405 	 0.120509 	 123.148 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
3 	 129.369 	 578.461 	 41.8808 	 104.69 	 2468 	 119.176 	 44.639 	 0.927201 	 0.597723 	 301.765 	 1318.32 	 409.888 	 0.310917 	 162.699 	 959.116 	 3594 	 0.621584 	 378.794 	 1053.01 	 1126.98 	 310.159 	 0.468023 	 1236.75 	 1084.74 	 302.053 	 0.26802 	 89 	 150 	 249.315 	 15.9952 	 2 	 1387.89 	 0.562354 	 14.0876 	 14.0876 	 14.0876 	 0 	 45 	 44 	 44.5 	 0.707107 	 76.4771 	 -42.6122 	 22.8453 	 0.143694 	 158.985 	 106 	 114 	 101.34 	 36.0191 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 106 	 106 	 106 	 0 	  Tumour 
4 	 152.145 	 543.014 	 217.573 	 77.3692 	 4222 	 79.8042 	 68.895 	 0.50469 	 0.969238 	 256.451 	 1586.42 	 304.931 	 0.192213 	 144.442 	 1227.22 	 5546 	 0.938409 	 328.267 	 954.47 	 1182.51 	 365.694 	 0.752475 	 1149.71 	 1186.43 	 230.193 	 0.194664 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 76.2035 	 -45.6739 	 14.4372 	 0.0909652 	 158.712 	 142 	 1294 	 74.3662 	 9.04564 	 2 	 700.796 	 0.165987 	 54.5552 	 31.8498 	 42.3376 	 10.2422 	 90 	 7 	 47.3333 	 41.5492 	  Tumour 
5 	 155.005 	 747.601 	 114.215 	 70.0286 	 1887 	 56.4231 	 43.962 	 0.626838 	 0.950151 	 177.439 	 1292.11 	 360.741 	 0.279188 	 405.636 	 932.906 	 2620 	 0.915124 	 218.853 	 938.798 	 1008.28 	 191.457 	 0.252577 	 1048.24 	 1007.61 	 111.203 	 0.11029 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 8.02221 	 -46.3992 	 12.4051 	 0.137027 	 90.5305 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	  DCIS 
6 	 172.097 	 75.5923 	 401.782 	 301.204 	 2455 	 74.1676 	 43.4987 	 0.809955 	 0.968442 	 203.38 	 1086.67 	 219.201 	 0.201717 	 583.888 	 727.471 	 4965 	 0.879695 	 354.024 	 906.373 	 990.403 	 173.582 	 0 	 0 	 0 	 165.831 	 0.167438 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 6.89947 	 10.9083 	 15.4594 	 0.172909 	 89.4077 	 77 	 79 	 102.701 	 37.3807 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 77 	 77 	 77 	 0 	  DCIS 
7 	 216.651 	 466.91 	 100.245 	 100.005 	 5640 	 125.394 	 63.3774 	 0.86287 	 0.885261 	 358.434 	 1345.59 	 349.194 	 0.25951 	 707.215 	 986.39 	 6554 	 0.919344 	 357.948 	 721.416 	 853.782 	 36.9607 	 0.270358 	 937.759 	 835.403 	 307.652 	 0.36034 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 25.0749 	 -26.4765 	 31.1791 	 0.289813 	 107.583 	 45 	 45 	 68.3556 	 3.035 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  DCIS 
8 	 228.823 	 578.806 	 223.555 	 83.6481 	 8199 	 121.023 	 88.1888 	 0.68484 	 0.97087 	 371.404 	 1961.08 	 421.648 	 0.215008 	 940.262 	 1601.88 	 10935 	 0.897268 	 491.747 	 1098.53 	 1341.18 	 524.356 	 0.717241 	 1365.58 	 1318.6 	 249.829 	 0.186276 	 90 	 640 	 287.156 	 53.8361 	 2 	 822.766 	 0.10035 	 74.0608 	 74.0608 	 74.0608 	 0 	 45 	 45 	 45 	 0 	 92.2946 	 -3.76708 	 20.2311 	 0.115737 	 174.803 	 355 	 2443 	 100.563 	 35.2428 	 4 	 1658.43 	 0.202272 	 64.4633 	 18.7019 	 47.9698 	 16.6305 	 120 	 55 	 88.75 	 27.0231 	  Tumour 
9 	 242.352 	 821.678 	 369.769 	 172.722 	 2769 	 81.6517 	 44.5871 	 0.837743 	 0.941196 	 232.007 	 1158.48 	 299.244 	 0.258307 	 614.211 	 799.277 	 5051 	 0.97755 	 276.208 	 1021.67 	 1123.18 	 306.357 	 0 	 0 	 0 	 177.145 	 0.157717 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 4.57841 	 -4.43106 	 9.51663 	 0.109278 	 87.0867 	 45 	 45 	 75.9778 	 10.6572 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 45 	 45 	 45 	 0 	  DCIS 
10 	 253.709 	 262.889 	 251.575 	 106.607 	 1924 	 51.7538 	 47.917 	 0.377855 	 0.970737 	 171.338 	 1223.97 	 317.061 	 0.259043 	 678.063 	 864.766 	 3001 	 0.953304 	 223.154 	 657.931 	 691.15 	 -125.671 	 0 	 0 	 0 	 91.0299 	 0.131708 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 7.00109 	 -0.785017 	 12.9629 	 0.144822 	 89.5094 	 43 	 46 	 78.0698 	 12.7492 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 43 	 43 	 43 	 0 	  DCIS 
