rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NucAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	CellLabels 
1	45.2371	76.806	132.639	313.249	4315	101.656	55.2161	0.839626	0.980236	265.137	1669.35	359.103	0.215116	471.079	1669.35	6866	0.950706	359.765	879.036	1105.14	761.453	0	0	0	509.463	0.460994	212	264	150.858	25.197	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	212	212	212	0	156.524	8.27528	47.7187	0.203243	234.787	217	316	342.687	3.43699	2	1097.98	0.254457	17.2165	17.2165	17.2165	0	109	108	108.5	0.707107	  Tumour 
2	76.4045	536.788	175.901	202.054	9394	135.106	90.4425	0.742884	0.97844	384.032	1190.56	334.801	0.281212	173.025	1190.56	21002	0.947145	670.399	1102.38	1905.44	1561.75	0	0	0	758.411	0.398024	114	115	156.939	31.2771	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	114	114	114	0	265.994	76.6104	42.4039	0.123176	344.256	1097	2214	471.343	132.093	4	2763.96	0.294226	60.8601	20.4213	34.525	12.4807	465	106	219.4	148.214	  Tumour 
3	35.4159	1133.51	64.6375	339.053	2484	61.5615	51.7865	0.5407	0.976415	190.309	904.76	276.162	0.305232	-187.352	904.76	3995	0.968955	248.853	510.166	489.996	146.308	0.183036	469.268	500.022	107.801	0.220005	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	73.5246	-64.8309	14.0269	0.0924122	151.787	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
4	68.5504	3003.92	92.6553	1291.24	12783	196.382	85.7357	0.899667	0.935319	509.973	1344.08	443.161	0.329713	212.727	1344.08	16869	0.927888	590.576	707.425	640.48	296.793	0.0600375	456.125	639.786	163.466	0.255225	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	21.6455	-60.2113	14.1251	0.141382	99.9076	171	197	309.48	-29.7701	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	171	171	171	0	  DCIS 
5	84.5103	290.526	217.706	346.808	6171	167.128	50.6557	0.95296	0.863681	384.492	2262.45	658.245	0.290943	969.548	2262.45	7488	0.766585	485.019	1079.42	1297.29	953.6	0.462069	1647.78	1180.82	690.664	0.532391	321	1601	189.673	64.0114	3	1118.3	0.181219	96.7204	23.9356	64.978	33.338	109	105	107	2	226.796	66.7168	60.2199	0.197404	305.058	298	764	469.128	129.878	3	3027.99	0.490681	32.9439	13.3555	25.8565	9.71215	116	79	99.3333	18.7705	  Tumour 
6	88.2691	1271.72	147.828	317.12	4824	86.1337	73.5614	0.520212	0.953171	271.037	2035.93	834.216	0.409748	934.824	2035.93	6444	0.915341	339.581	408.893	407.553	63.8659	0.376206	415.983	406.633	79.0294	0.193912	211	393	156.839	31.1773	2	364.989	0.075661	22.1374	22.1374	22.1374	0	113	98	105.5	10.6066	53.8515	-31.8446	20.8148	0.157552	132.114	220	299	417.164	77.914	2	725.042	0.150299	14.7733	14.7733	14.7733	0	120	100	110	14.1421	  DCIS 
7	72.4828	1187.27	64.6375	307.709	2357	65.8112	46.574	0.706521	0.956187	192.167	1011.78	287.823	0.284471	18.9078	1011.78	4250	0.926734	273.522	426.811	408.485	64.7979	0.451064	370.17	416.262	139.156	0.340663	49	50	140.224	14.563	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	49	49	49	0	24.1584	-130.955	21.3962	0.208905	102.42	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
8	91.5412	1668.4	537.034	418.951	2794	94.3157	39.1121	0.909961	0.894939	242.794	1115.53	338.939	0.303837	-86.3339	1115.53	4352	0.92813	298.451	825.724	850.08	506.393	0.270992	819.831	852.978	98.426	0.115784	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	25.7651	-68.5242	11.3345	0.108957	104.027	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
9	145.288	340.258	281.37	301.04	11049	198.253	74.2761	0.927165	0.906324	491.245	1371.09	397.893	0.290202	447.971	1371.09	13564	0.888452	570.333	1090.61	2012.31	1668.62	0.663424	1992.19	2030.12	777.737	0.38649	441	1789	177.81	52.148	4	1257.93	0.11385	94.4558	14.9986	53.4238	27.9992	128	100	110.25	12.7639	362.31	130.448	58.7735	0.133403	440.572	1056	3150	636.38	297.13	4	3390.92	0.306899	99.9855	20.2177	56.0555	35.5628	579	96	264	220.468	  Tumour 
10	96.0397	2571.44	1438.29	898.639	3329	79.6616	53.3912	0.742157	0.982006	230.894	2245.62	559.888	0.249325	1194.1	2245.62	5071	0.965905	283.48	889.019	784.79	441.102	0	0	0	112.211	0.142983	102	103	182.618	56.9561	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	102	102	102	0	35.0146	-40.2247	21.8894	0.193238	113.277	142	147	446.401	107.152	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	142	142	142	0	  DCIS 
11	110.686	736.038	405.191	189.526	4118	89.8164	59.8613	0.745518	0.96305	260.794	2276.32	663.031	0.291274	1182.97	2276.32	5760	0.941176	317.823	721.389	781.872	438.184	0.149306	801.023	780.528	173.382	0.221753	138	188	263.594	137.933	2	1033.04	0.250859	12.083	12.083	12.083	0	69	69	69	0	157.075	-4.43741	38.7112	0.164493	235.337	409	1254	463.007	123.758	3	853.83	0.207341	42.998	14.2925	32.8897	14.4235	202	60	136.333	71.5984	  DCIS 
12	103.838	844.044	298.096	145	1588	58.1097	35.1734	0.796002	0.96535	158.267	747.527	111.802	0.149562	-304.226	747.527	3050	0.980077	214.711	412.75	411.443	67.7561	0	0	0	129.667	0.315152	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	94.8639	-38.3247	19.3071	0.11152	173.126	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Lymph 
13	110.114	1630.06	501.638	408.31	1411	65.6854	27.9441	0.904995	0.950168	163.296	1297.63	513.464	0.395695	309.685	1297.63	2441	0.961781	213.64	756.864	730.056	386.369	0.364103	825.746	711.734	137.28	0.188041	86	87	173.453	47.792	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	86	86	86	0	17.0689	-139.167	10.7152	0.112399	95.331	101	103	303.277	-35.9724	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	101	101	101	0	  DCIS 
14	129.324	1224.02	130.138	263.137	3653	73.7512	72.0996	0.210443	0.814311	291.179	1392.42	537.001	0.385661	590.848	1392.42	5181	0.881572	324.593	434.62	366.204	22.517	0.5	398.021	356.286	82.69	0.225803	143	148	186.483	60.821	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	143	143	143	0	74.7004	25.6448	41.7543	0.272971	152.962	210	240	431.876	92.6265	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	210	210	210	0	  DCIS 
15	122.186	184.643	132.639	260.647	4833	83.5284	74.246	0.458156	0.977549	268.451	2150.52	904.425	0.420561	1078.84	2150.52	6490	0.917444	355.179	1233.14	1163.81	820.126	0.260317	1231.71	1158.84	442.793	0.380468	234	856	158.269	32.6077	2	794.512	0.164393	58.9838	58.9838	58.9838	0	130	104	117	18.3848	201.472	7.39053	57.6446	0.206069	279.734	205	424	370.161	30.9113	2	761.372	0.157536	25.6689	25.6689	25.6689	0	105	100	102.5	3.53553	  Tumour 
16	123.919	1110.49	92.1792	250.647	1086	41.4076	33.6927	0.581309	0.981917	122.912	661.283	104.42	0.157906	-181.66	661.283	2025	0.978261	172.669	666.4	605.302	261.615	0	0	0	151.317	0.249986	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	156.703	-58.0628	18.8676	0.0802996	234.965	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Other 
17	157.426	2641	1511.93	926.739	1955	66.1204	38.5733	0.812199	0.918271	193.137	934.928	203.959	0.218155	324.167	934.928	3010	0.899851	246.167	997.142	1009.75	666.061	0.366972	1055.42	995.983	114.583	0.113476	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	-14.2682	-52.4281	5.44527	0.0850905	63.9939	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
18	161.471	3014.81	1885.22	1266.52	3402	101.824	48.6227	0.878622	0.809807	282.007	1241.17	346.352	0.279053	381.28	1241.17	5236	0.754141	367.664	475.737	498.332	154.645	0.572308	569.613	468.681	131.348	0.263574	129	133	136.488	10.8268	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	129	129	129	0	-1.65243	-83.6739	9.87784	0.128937	76.6096	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
19	176.592	2858.52	1730.83	1115.33	3789	87.815	56.3398	0.767062	0.922122	269.078	895.978	165.13	0.184302	219.467	895.978	5360	0.903422	332.35	843.595	883.775	540.088	0.372014	1115.22	820.054	302.16	0.341897	179	634	151.547	25.886	2	308.044	0.0812996	49.9885	49.9885	49.9885	0	100	79	89.5	14.8492	35.0742	-6.77442	25.5368	0.225319	113.336	225	553	295.947	-43.303	2	136.384	0.0359948	37.2014	37.2014	37.2014	0	113	112	112.5	0.707107	  DCIS 
20	207.44	2000.97	883.896	392.757	8386	132.562	81.236	0.790226	0.969256	368.919	1165.82	357.145	0.306346	656.75	1165.82	11568	0.971285	430.108	463.674	419.485	75.7975	0	0	0	85.2665	0.203265	92	94	164.696	39.0341	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	92	92	92	0	20.1137	-51.2684	29.1061	0.295867	98.3757	194	434	279.479	-59.7703	2	774.777	0.0923894	28.1536	28.1536	28.1536	0	111	83	97	19.799	  DCIS 
21	206.219	2664.4	1539.53	925.097	6639	122.242	75.6084	0.785774	0.883198	355.647	1355.7	437.28	0.322551	895.091	1355.7	9019	0.903617	412.978	912.024	891.676	547.989	0.340599	1029.63	864.91	184.185	0.20656	104	108	156.538	30.8769	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	104	104	104	0	-6.66243	-7.99154	7.99574	0.111673	71.5996	206	888	277.204	-62.0458	2	386.269	0.0581818	64.387	64.387	64.387	0	112	94	103	12.7279	  DCIS 
22	185.406	2939.21	1811.22	1186.92	4170	85.2643	62.8928	0.675214	0.972255	255.137	1566.88	505.765	0.322785	687.214	1566.88	6122	0.95284	323.723	673.521	709.079	365.392	0.52921	764.623	684.879	169.891	0.239594	170	180	151.294	25.6326	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	170	170	170	0	15.8605	-9.29253	12.4545	0.132322	94.1225	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
23	190.403	721.322	441.128	157.664	2298	67.065	44.6903	0.745619	0.967579	207.296	2583	653.312	0.252927	1230.09	2583	3919	0.957956	254.125	614.416	660.665	316.978	0.377682	755.807	637.381	116.103	0.175737	138	162	206.543	80.8819	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	138	138	138	0	177.846	-36.2289	28.46	0.111125	256.108	164	185	444.848	105.598	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	164	164	164	0	  DCIS 
24	208.22	60.1034	163.884	149.643	5321	90.5845	75.6722	0.549678	0.985735	276.451	1850.29	723.74	0.391151	1210.67	1850.29	7860	0.965602	360.936	966.222	1097.57	753.881	0	0	0	448.891	0.408987	114	118	167.228	41.5665	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	114	114	114	0	177.457	1.78271	62.4011	0.244022	255.719	268	376	420.881	81.631	2	918.046	0.172533	18.0115	18.0115	18.0115	0	160	108	134	36.7696	  Tumour 
25	185.791	2186.26	1062.78	544.507	2149	54.4734	51.9598	0.300265	0.935161	184.51	880.159	272.764	0.309903	503.061	880.159	3618	0.95689	239.196	775.795	818.935	475.248	0.175926	694.289	830.712	400.194	0.488676	92	96	138.565	12.9037	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	92	92	92	0	25.6318	2.4939	26.0375	0.250616	103.894	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  Other 
26	223.641	214.512	226.02	191.638	12260	135.711	115.876	0.520524	0.964215	440.132	1415.29	400.272	0.28282	800.283	1415.29	16623	0.909852	570.576	935.681	1421.68	1077.99	0.471735	1478.98	1402.5	589.606	0.414726	268	709	188.116	62.4541	2	1819.94	0.148445	38.6289	38.6289	38.6289	0	145	123	134	15.5563	414.975	144.905	84.0845	0.170475	493.238	910	1092	811.265	472.015	1	0	0	 NaN 	 NaN 	 NaN 	 NaN 	910	910	910	0	  Tumour 
27	187.173	2500.85	1375.42	790.471	1086	40.0332	34.7839	0.495027	0.964476	125.64	1050.21	396.843	0.37787	648.409	1050.21	2096	0.81146	209.054	622.682	686.122	342.435	0.455026	754.756	661.346	128.465	0.187234	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	2.53535	5.77639	10.0429	0.124298	80.7974	0	0	 NaN 	 NaN 	0	0	0	 NaN 	 NaN 	 NaN 	 NaN 	0	0	 NaN 	 NaN 	  DCIS 
