rownames 	XLoc 	YLoc 	NNDistSame 	NNDistOpp 	dapi_Area 	dapi_MajorAxisLength 	dapi_MinorAxisLength 	dapi_Eccentricity 	dapi_Solidity 	dapi_Perimeter 	dapi_MeanIntensity 	dapi_PixelSD 	dapi_PixelCV 	dapi_NucAdjustedInt 	dapi_BackAdjustedInt 	cent_Area 	cent_ConvexArea 	cent_MeanIntensity 	cent_BackAdjustedInt 	cent_CN 	cent_AreaSD 	cent_CoeffVar 	cent_MaxSpotDist 	cent_MinSpotDist 	cent_MeanSpotDist 	cent_SDSpotDist 	cent_SpotAreaMax 	cent_SpotAreaMin 	cent_SpotAreaMean 	cent_SpotAreaSD 	Her2_Area 	Her2_ConvexArea 	Her2_MeanIntensity 	Her2_BackAdjustedInt 	Her2_CN 	Her2_AreaSD 	Her2_CoeffVar 	Her2_MaxSpotDist 	Her2_MinSpotDist 	Her2_MeanSpotDist 	Her2_SDSpotDist 	Her2_SpotAreaMax 	Her2_SpotAreaMin 	Her2_SpotAreaMean 	Her2_SpotAreaSD 	nucl_BackgroundAdjust 	nucl_NuclearAdjustedInt 	nucl_PixelSD 	nucl_PixelCV 	nucl_MeanIntensity 	memb_Area 	memb_Solidity 	memb_Perimeter 	memb_MeanIntensity 	memb_MembraneIntensity 	memb_temp 	memb_pcTouch 	memb_OverLapIntensity 	memb_nonLapIntensity 	memb_PixelSD 	memb_PixelCV 	CellLabels 	
1 	 48.7156 	 136.162 	 82.9759 	 107.703 	 6083 	 98.2359 	 79.3551 	 0.589454 	 0.965096 	 308.392 	 1014.01 	 215.42 	 0.212443 	 151.596 	 914.177 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 146 	 305 	 133.89 	 -3.6958 	 2 	 240.591 	 0.0395514 	 20.84 	 20.84 	 20.84 	 0 	 74 	 72 	 73 	 1.41421 	 244.235 	 -19.392 	 50.8075 	 0.169779 	 299.257 	 10888 	 0.899612 	 493.48 	 192.059 	 282.494 	 226.738 	 0.38961 	 330.922 	 270.729 	 88.6463 	 0.313799 	  Tumour 
2 	 35.9756 	 1586.64 	 80.2621 	 233.962 	 4926 	 90.196 	 70.2799 	 0.626787 	 0.961171 	 291.179 	 890.721 	 255.896 	 0.287291 	 -72.5007 	 790.886 	 73 	 75 	 1259.11 	 995.438 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 73 	 73 	 73 	 0 	 69 	 69 	 142.841 	 5.25437 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 69 	 69 	 69 	 0 	 111.354 	 -173.85 	 41.5997 	 0.250034 	 166.376 	 6535 	 0.970593 	 328.953 	 120.958 	 116.831 	 61.075 	 0.117264 	 82.9444 	 121.32 	 37.5822 	 0.321681 	  Tumour 
3 	 100.314 	 445.603 	 314.167 	 143.45 	 7373 	 146.911 	 65.4579 	 0.895252 	 0.960777 	 378.534 	 1714 	 732.518 	 0.427373 	 654.943 	 1614.17 	 249 	 856 	 1214.36 	 950.686 	 2 	 679.784 	 0.0921991 	 48.7536 	 48.7536 	 48.7536 	 0 	 157 	 92 	 124.5 	 45.9619 	 380 	 1526 	 197.368 	 59.7822 	 4 	 2560.23 	 0.347244 	 71.9432 	 19.1063 	 39.5432 	 17.6473 	 127 	 67 	 95 	 29.0861 	 440.377 	 84.9634 	 98.7589 	 0.199352 	 495.399 	 9947 	 0.880811 	 512.108 	 202.798 	 240.926 	 185.171 	 0.339662 	 270.807 	 236.743 	 96.3402 	 0.399874 	  Tumour 
4 	 76.9231 	 1656.13 	 1520.26 	 165.027 	 4849 	 92.3499 	 68.1866 	 0.674417 	 0.912495 	 297.806 	 1072.77 	 287.51 	 0.268007 	 116.13 	 972.935 	 130 	 418 	 877.715 	 614.044 	 2 	 762.412 	 0.157231 	 34.5576 	 34.5576 	 34.5576 	 0 	 71 	 59 	 65 	 8.48528 	 135 	 254 	 144.63 	 7.04342 	 2 	 1593.91 	 0.328708 	 23.3113 	 23.3113 	 23.3113 	 0 	 70 	 65 	 67.5 	 3.53553 	 101.566 	 -153.852 	 27.9909 	 0.178754 	 156.588 	 6187 	 0.928004 	 321.765 	 104.779 	 99.6418 	 43.8863 	 0.368794 	 97.7692 	 99.2696 	 26.3867 	 0.264816 	  Tumour 
5 	 79.5928 	 1821.39 	 159.389 	 165.027 	 4258 	 102.911 	 54.0457 	 0.850999 	 0.940994 	 277.664 	 1011.37 	 270.303 	 0.267264 	 92.3136 	 911.536 	 74 	 75 	 296.514 	 32.8419 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 74 	 74 	 74 	 0 	 260 	 1008 	 127.788 	 -9.79775 	 4 	 578.517 	 0.135866 	 62.7439 	 13.1793 	 38.9242 	 20.0689 	 83 	 51 	 65 	 13.2916 	 103.889 	 -162.41 	 36.632 	 0.23052 	 158.911 	 6291 	 0.957826 	 337.054 	 128.519 	 124.667 	 68.9111 	 0 	 0 	 0 	 52.4122 	 0.420419 	  Other 
6 	 103.315 	 198.647 	 82.9759 	 103.832 	 3971 	 101.861 	 50.2608 	 0.869788 	 0.958484 	 268.877 	 1047.6 	 325.749 	 0.310948 	 245.114 	 947.764 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 111 	 200 	 161.559 	 23.9724 	 2 	 945.273 	 0.238044 	 15.9488 	 15.9488 	 15.9488 	 0 	 74 	 37 	 55.5 	 26.163 	 337.583 	 41.2209 	 55.2017 	 0.140603 	 392.605 	 6193 	 0.90488 	 384.652 	 256.954 	 301.938 	 246.182 	 0.652542 	 296.779 	 304.82 	 114.519 	 0.37928 	  Tumour 
7 	 132.793 	 1605.03 	 1471.4 	 162.604 	 4314 	 92.5705 	 64.6972 	 0.715222 	 0.914952 	 280.451 	 1535.1 	 556.777 	 0.362699 	 467.871 	 1435.26 	 150 	 660 	 1418.72 	 1155.05 	 2 	 597.684 	 0.138545 	 49.6344 	 49.6344 	 49.6344 	 0 	 94 	 56 	 75 	 26.8701 	 294 	 1424 	 170.082 	 32.4954 	 4 	 616.497 	 0.142906 	 59.3415 	 13.9044 	 37.7762 	 15.4632 	 77 	 72 	 73.5 	 2.38048 	 153.057 	 -221.952 	 61.3049 	 0.294624 	 208.079 	 6017 	 0.907815 	 335.581 	 112.757 	 103.524 	 47.7688 	 0.214984 	 94.6667 	 105.203 	 32.8777 	 0.317584 	  Tumour 
8 	 158.056 	 223.027 	 139.463 	 115.109 	 4906 	 95.5244 	 66.5817 	 0.717059 	 0.939847 	 292.149 	 1069.55 	 232.647 	 0.217518 	 300.36 	 969.716 	 56 	 58 	 270.179 	 6.507 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 56 	 56 	 56 	 0 	 39 	 40 	 121.769 	 -15.817 	 1 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 39 	 39 	 39 	 0 	 289.158 	 -14.7462 	 49.8796 	 0.144923 	 344.18 	 6691 	 0.857161 	 421.037 	 196.626 	 266.649 	 210.894 	 0.597403 	 240.917 	 282.164 	 128.557 	 0.48212 	  Tumour 
9 	 143.62 	 580.933 	 455.027 	 42.9535 	 2780 	 79.6997 	 45.3185 	 0.822604 	 0.951403 	 216.652 	 990.904 	 256.458 	 0.258812 	 51.6844 	 891.068 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 0 	 0 	 0 	 NaN 	 NaN 	 NaN 	 NaN 	 0 	 0 	 NaN 	 NaN 	 364.146 	 65.9122 	 92.6567 	 0.221049 	 419.168 	 3779 	 0.898265 	 284.225 	 223.591 	 251.662 	 195.906 	 0.387218 	 350.845 	 223.208 	 124.948 	 0.496491 	  Tumour 
10 	 181.317 	 486.329 	 374.064 	 77.026 	 4237 	 101.116 	 54.5509 	 0.841993 	 0.935733 	 277.421 	 1723.06 	 779.469 	 0.452376 	 1119.14 	 1623.22 	 186 	 482 	 1360.91 	 1097.24 	 3 	 701.049 	 0.165459 	 22.4955 	 14.6499 	 18.9334 	 3.55291 	 97 	 21 	 62 	 38.3536 	 243 	 760 	 160.263 	 22.6772 	 3 	 1189.92 	 0.280839 	 48.62 	 13.944 	 32.7786 	 15.68 	 105 	 62 	 81 	 21.9317 	 215.912 	 -101.156 	 69.9749 	 0.258273 	 270.934 	 7097 	 0.818759 	 449.823 	 192.84 	 204.326 	 148.571 	 0.62619 	 214.882 	 197.834 	 100.263 	 0.490699 	  Tumour 
